PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Kris Dunn,ATL,05/30/2021,ATL vs. NYK,W,3,0,-7
Kevin Knox II,NYK,05/30/2021,NYK @ ATL,L,4,2,9
Kevin Huerter,ATL,05/30/2021,ATL vs. NYK,W,25,11,13
Kevin Durant,BKN,05/30/2021,BKN @ BOS,W,40,42,3
Kawhi Leonard,LAC,05/30/2021,LAC @ DAL,W,35,29,27
Julius Randle,NYK,05/30/2021,NYK @ ATL,L,36,23,-17
Josh Richardson,DAL,05/30/2021,DAL vs. LAC,L,21,5,-15
Josh Green,DAL,05/30/2021,DAL vs. LAC,L,4,0,-1
John Collins,ATL,05/30/2021,ATL vs. NYK,W,29,22,15
Joe Harris,BKN,05/30/2021,BKN @ BOS,W,37,14,17
Jayson Tatum,BOS,05/30/2021,BOS vs. BKN,L,40,40,-9
James Harden,BKN,05/30/2021,BKN @ BOS,W,40,23,8
Jalen Brunson,DAL,05/30/2021,DAL vs. LAC,L,19,7,-9
Jae Crowder,PHX,05/30/2021,PHX @ LAL,W,35,17,21
Jabari Parker,BOS,05/30/2021,BOS vs. BKN,L,17,10,9
Ivica Zubac,LAC,05/30/2021,LAC @ DAL,W,18,5,8
Immanuel Quickley,NYK,05/30/2021,NYK @ ATL,L,13,0,-1
Grant Williams,BOS,05/30/2021,BOS vs. BKN,L,21,5,-11
Frank Ntilikina,NYK,05/30/2021,NYK @ ATL,L,3,0,5
Frank Kaminsky,PHX,05/30/2021,PHX @ LAL,W,7,0,-7
Evan Fournier,BOS,05/30/2021,BOS vs. BKN,L,28,16,-24
Dwight Powell,DAL,05/30/2021,DAL vs. LAC,L,4,7,-1
Dorian Finney-Smith,DAL,05/30/2021,DAL vs. LAC,L,38,8,-18
Devin Booker,PHX,05/30/2021,PHX @ LAL,W,39,17,12
Derrick Rose,NYK,05/30/2021,NYK @ ATL,L,33,18,-22
Dennis Schroder,LAL,05/30/2021,LAL vs. PHX,L,32,8,-8
Deandre Ayton,PHX,05/30/2021,PHX @ LAL,W,38,14,12
De'Andre Hunter,ATL,05/30/2021,ATL vs. NYK,W,28,5,7
Danilo Gallinari,ATL,05/30/2021,ATL vs. NYK,W,25,21,17
Daniel Oturu,LAC,05/30/2021,LAC @ DAL,W,4,2,1
Clint Capela,ATL,05/30/2021,ATL vs. NYK,W,28,10,19
Chris Paul,PHX,05/30/2021,PHX @ LAL,W,32,18,9
Chris Chiozza,BKN,05/30/2021,BKN @ BOS,W,1,0,0
Carsen Edwards,BOS,05/30/2021,BOS vs. BKN,L,1,0,1
Cameron Payne,PHX,05/30/2021,PHX @ LAL,W,25,13,-5
Cameron Johnson,PHX,05/30/2021,PHX @ LAL,W,20,5,4
Bruce Brown,BKN,05/30/2021,BKN @ BOS,W,24,14,-4
Bogdan Bogdanovic,ATL,05/30/2021,ATL vs. NYK,W,35,12,29
Boban Marjanovic,DAL,05/30/2021,DAL vs. LAC,L,15,12,3
Blake Griffin,BKN,05/30/2021,BKN @ BOS,W,18,2,12
Ben McLemore,LAL,05/30/2021,LAL vs. PHX,L,16,6,-2
Anthony Davis,LAL,05/30/2021,LAL vs. PHX,L,19,6,-8
Andre Drummond,LAL,05/30/2021,LAL vs. PHX,L,19,5,-9
Amir Coffey,LAC,05/30/2021,LAC @ DAL,W,4,5,1
Alex Caruso,LAL,05/30/2021,LAL vs. PHX,L,29,10,8
Alec Burks,NYK,05/30/2021,NYK @ ATL,L,25,12,-10
Aaron Nesmith,BOS,05/30/2021,BOS vs. BKN,L,19,11,-1
Zeke Nnaji,DEN,05/29/2021,DEN @ POR,L,5,0,3
Vlatko Cancar,DEN,05/29/2021,DEN @ POR,L,8,6,4
Tyus Jones,MEM,05/29/2021,MEM vs. UTA,L,8,3,12
Tyrese Maxey,PHI,05/29/2021,PHI @ WAS,W,11,4,4
Tyler Herro,MIA,05/29/2021,MIA vs. MIL,L,31,14,-14
Trevor Ariza,MIA,05/29/2021,MIA vs. MIL,L,20,11,-14
Tobias Harris,PHI,05/29/2021,PHI @ WAS,W,32,20,29
T.J. Leaf,POR,05/29/2021,POR vs. DEN,W,3,4,-2
Shaquille Harrison,DEN,05/29/2021,DEN @ POR,L,13,3,-6
Shake Milton,PHI,05/29/2021,PHI @ WAS,W,11,4,-2
Seth Curry,PHI,05/29/2021,PHI @ WAS,W,27,15,30
Sam Merrill,MIL,05/29/2021,MIL @ MIA,W,1,0,-2
Russell Westbrook,WAS,05/29/2021,WAS vs. PHI,L,34,26,-15
Rui Hachimura,WAS,05/29/2021,WAS vs. PHI,L,27,10,-24
Rudy Gobert,UTA,05/29/2021,UTA @ MEM,W,35,15,14
Royce O'Neale,UTA,05/29/2021,UTA @ MEM,W,32,12,14
Rondae Hollis-Jefferson,POR,05/29/2021,POR vs. DEN,W,9,2,-5
Robin Lopez,WAS,05/29/2021,WAS vs. PHI,L,15,4,-7
Robert Covington,POR,05/29/2021,POR vs. DEN,W,36,9,16
Raul Neto,WAS,05/29/2021,WAS vs. PHI,L,20,2,3
Precious Achiuwa,MIA,05/29/2021,MIA vs. MIL,L,1,2,2
Paul Reed,PHI,05/29/2021,PHI @ WAS,W,4,0,0
Paul Millsap,DEN,05/29/2021,DEN @ POR,L,14,9,9
Pat Connaughton,MIL,05/29/2021,MIL @ MIA,W,22,2,2
P.J. Tucker,MIL,05/29/2021,MIL @ MIA,W,24,4,5
Norman Powell,POR,05/29/2021,POR vs. DEN,W,34,29,26
Nikola Jokic,DEN,05/29/2021,DEN @ POR,L,27,16,-32
Nassir Little,POR,05/29/2021,POR vs. DEN,W,5,2,-3
Monte Morris,DEN,05/29/2021,DEN @ POR,L,25,12,6
Miye Oni,UTA,05/29/2021,UTA @ MEM,W,1,0,-2
Mike Scott,PHI,05/29/2021,PHI @ WAS,W,6,6,4
Mike Conley,UTA,05/29/2021,UTA @ MEM,W,36,27,16
Michael Porter Jr.,DEN,05/29/2021,DEN @ POR,L,23,3,-17
Max Strus,MIA,05/29/2021,MIA vs. MIL,L,1,0,2
Matisse Thybulle,PHI,05/29/2021,PHI @ WAS,W,18,5,-5
Markus Howard,DEN,05/29/2021,DEN @ POR,L,27,9,2
Mamadi Diakite,MIL,05/29/2021,MIL @ MIA,W,1,0,-2
Kyle Anderson,MEM,05/29/2021,MEM vs. UTA,L,32,11,-5
Khris Middleton,MIL,05/29/2021,MIL @ MIA,W,37,20,17
Kendrick Nunn,MIA,05/29/2021,MIA vs. MIL,L,28,18,-10
Keljin Blevins,POR,05/29/2021,POR vs. DEN,W,3,2,-2
KZ Okpala,MIA,05/29/2021,MIA vs. MIL,L,1,0,2
Jusuf Nurkic,POR,05/29/2021,POR vs. DEN,W,27,17,32
Justin Jackson,MIL,05/29/2021,MIL @ MIA,W,1,0,-2
Jrue Holiday,MIL,05/29/2021,MIL @ MIA,W,38,11,10
Jordan Clarkson,UTA,05/29/2021,UTA @ MEM,W,22,15,-7
Jonas Valanciunas,MEM,05/29/2021,MEM vs. UTA,L,35,10,-22
Joel Embiid,PHI,05/29/2021,PHI @ WAS,W,28,36,29
Joe Ingles,UTA,05/29/2021,UTA @ MEM,W,23,3,4
Jimmy Butler,MIA,05/29/2021,MIA vs. MIL,L,38,12,-18
Jeff Teague,MIL,05/29/2021,MIL @ MIA,W,5,3,0
Jaren Jackson Jr.,MEM,05/29/2021,MEM vs. UTA,L,27,9,0
JaVale McGee,DEN,05/29/2021,DEN @ POR,L,7,0,3
JaMychal Green,DEN,05/29/2021,DEN @ POR,L,21,11,6
Ja Morant,MEM,05/29/2021,MEM vs. UTA,L,40,28,-22
Ish Smith,WAS,05/29/2021,WAS vs. PHI,L,20,7,-2
Isaiah Joe,PHI,05/29/2021,PHI @ WAS,W,4,0,-2
Isaac Bonga,WAS,05/29/2021,WAS vs. PHI,L,4,0,0
Grayson Allen,MEM,05/29/2021,MEM vs. UTA,L,30,17,-4
Goran Dragic,MIA,05/29/2021,MIA vs. MIL,L,29,13,-14
Giannis Antetokounmpo,MIL,05/29/2021,MIL @ MIA,W,36,20,21
Georges Niang,UTA,05/29/2021,UTA @ MEM,W,12,3,-6
George Hill,PHI,05/29/2021,PHI @ WAS,W,18,5,-3
Garrison Mathews,WAS,05/29/2021,WAS vs. PHI,L,6,3,-4
Gabe Vincent,MIA,05/29/2021,MIA vs. MIL,L,1,0,2
Furkan Korkmaz,PHI,05/29/2021,PHI @ WAS,W,9,3,2
Facundo Campazzo,DEN,05/29/2021,DEN @ POR,L,27,12,-20
Enes Freedom,POR,05/29/2021,POR vs. DEN,W,3,0,1
Elijah Bryant,MIL,05/29/2021,MIL @ MIA,W,1,0,-2
Dwight Howard,PHI,05/29/2021,PHI @ WAS,W,16,5,0
Duncan Robinson,MIA,05/29/2021,MIA vs. MIL,L,16,5,1
Donovan Mitchell,UTA,05/29/2021,UTA @ MEM,W,30,29,8
Dillon Brooks,MEM,05/29/2021,MEM vs. UTA,L,33,27,-6
Dewayne Dedmon,MIA,05/29/2021,MIA vs. MIL,L,12,0,3
Desmond Bane,MEM,05/29/2021,MEM vs. UTA,L,16,3,-12
Derrick Jones Jr.,POR,05/29/2021,POR vs. DEN,W,5,2,-3
Derrick Favors,UTA,05/29/2021,UTA @ MEM,W,13,2,-4
De'Anthony Melton,MEM,05/29/2021,MEM vs. UTA,L,13,3,5
Davis Bertans,WAS,05/29/2021,WAS vs. PHI,L,31,8,-34
Danny Green,PHI,05/29/2021,PHI @ WAS,W,26,15,32
Daniel Gafford,WAS,05/29/2021,WAS vs. PHI,L,22,16,-8
Damian Lillard,POR,05/29/2021,POR vs. DEN,W,31,10,33
Carmelo Anthony,POR,05/29/2021,POR vs. DEN,W,22,12,-4
CJ McCollum,POR,05/29/2021,POR vs. DEN,W,35,21,22
CJ Elleby,POR,05/29/2021,POR vs. DEN,W,4,0,-1
Bryn Forbes,MIL,05/29/2021,MIL @ MIA,W,25,22,21
Brook Lopez,MIL,05/29/2021,MIL @ MIA,W,28,25,22
Brandon Clarke,MEM,05/29/2021,MEM vs. UTA,L,7,0,4
Bradley Beal,WAS,05/29/2021,WAS vs. PHI,L,37,25,-29
Bojan Bogdanovic,UTA,05/29/2021,UTA @ MEM,W,37,15,13
Bobby Portis,MIL,05/29/2021,MIL @ MIA,W,19,13,-3
Ben Simmons,PHI,05/29/2021,PHI @ WAS,W,30,14,27
Bam Adebayo,MIA,05/29/2021,MIA vs. MIL,L,35,20,-22
Axel Toupane,MIL,05/29/2021,MIL @ MIA,W,1,0,-2
Austin Rivers,DEN,05/29/2021,DEN @ POR,L,24,8,-28
Anthony Gill,WAS,05/29/2021,WAS vs. PHI,L,12,0,-11
Anfernee Simons,POR,05/29/2021,POR vs. DEN,W,22,5,-10
Andre Iguodala,MIA,05/29/2021,MIA vs. MIL,L,26,8,-5
Alex Len,WAS,05/29/2021,WAS vs. PHI,L,11,2,-14
Aaron Gordon,DEN,05/29/2021,DEN @ POR,L,18,6,-30
Yogi Ferrell,LAC,05/28/2021,LAC @ DAL,W,0,0,0
Willie Cauley-Stein,DAL,05/28/2021,DAL vs. LAC,L,14,5,-1
Tyler Johnson,BKN,05/28/2021,BKN @ BOS,L,10,5,-17
Tristan Thompson,BOS,05/28/2021,BOS vs. BKN,W,30,19,-16
Trae Young,ATL,05/28/2021,ATL vs. NYK,W,37,21,9
Tim Hardaway Jr.,DAL,05/28/2021,DAL vs. LAC,L,40,12,-7
Terance Mann,LAC,05/28/2021,LAC @ DAL,W,19,4,18
Taj Gibson,NYK,05/28/2021,NYK @ ATL,L,26,4,-8
Solomon Hill,ATL,05/28/2021,ATL vs. NYK,W,5,0,-4
Romeo Langford,BOS,05/28/2021,BOS vs. BKN,W,27,6,22
Robert Williams III,BOS,05/28/2021,BOS vs. BKN,W,6,0,8
Reggie Jackson,LAC,05/28/2021,LAC @ DAL,W,34,16,-4
Reggie Bullock,NYK,05/28/2021,NYK @ ATL,L,38,11,-6
Rajon Rondo,LAC,05/28/2021,LAC @ DAL,W,26,6,22
RJ Barrett,NYK,05/28/2021,NYK @ ATL,L,29,7,-9
Payton Pritchard,BOS,05/28/2021,BOS vs. BKN,W,6,0,3
Paul George,LAC,05/28/2021,LAC @ DAL,W,41,29,3
Patrick Beverley,LAC,05/28/2021,LAC @ DAL,W,6,2,3
Onyeka Okongwu,ATL,05/28/2021,ATL vs. NYK,W,6,0,-3
Obi Toppin,NYK,05/28/2021,NYK @ ATL,L,13,4,-2
Nicolas Batum,LAC,05/28/2021,LAC @ DAL,W,27,8,7
Nic Claxton,BKN,05/28/2021,BKN @ BOS,L,16,4,-21
Nerlens Noel,NYK,05/28/2021,NYK @ ATL,L,22,12,-3
Maxi Kleber,DAL,05/28/2021,DAL vs. LAC,L,35,14,-9
Marcus Smart,BOS,05/28/2021,BOS vs. BKN,W,39,23,1
Marcus Morris Sr.,LAC,05/28/2021,LAC @ DAL,W,34,15,-3
Luka Doncic,DAL,05/28/2021,DAL vs. LAC,L,39,44,3
Lou Williams,ATL,05/28/2021,ATL vs. NYK,W,11,9,2
Landry Shamet,BKN,05/28/2021,BKN @ BOS,L,19,0,-27
Kyrie Irving,BKN,05/28/2021,BKN @ BOS,L,41,16,1
Kristaps Porzingis,DAL,05/28/2021,DAL vs. LAC,L,34,9,-9
Kevin Huerter,ATL,05/28/2021,ATL vs. NYK,W,19,10,2
Kevin Durant,BKN,05/28/2021,BKN @ BOS,L,40,39,-1
Kemba Walker,BOS,05/28/2021,BOS vs. BKN,W,34,6,-15
Kawhi Leonard,LAC,05/28/2021,LAC @ DAL,W,42,36,6
Julius Randle,NYK,05/28/2021,NYK @ ATL,L,35,14,-9
Josh Richardson,DAL,05/28/2021,DAL vs. LAC,L,16,4,-13
John Collins,ATL,05/28/2021,ATL vs. NYK,W,31,14,10
Joe Harris,BKN,05/28/2021,BKN @ BOS,L,35,8,4
Jayson Tatum,BOS,05/28/2021,BOS vs. BKN,W,41,50,1
James Harden,BKN,05/28/2021,BKN @ BOS,L,39,41,13
Jalen Brunson,DAL,05/28/2021,DAL vs. LAC,L,22,14,-19
Ivica Zubac,LAC,05/28/2021,LAC @ DAL,W,11,2,-2
Immanuel Quickley,NYK,05/28/2021,NYK @ ATL,L,15,4,-3
Grant Williams,BOS,05/28/2021,BOS vs. BKN,W,11,4,14
Frank Ntilikina,NYK,05/28/2021,NYK @ ATL,L,0,0,-2
Evan Fournier,BOS,05/28/2021,BOS vs. BKN,W,37,17,11
Dwight Powell,DAL,05/28/2021,DAL vs. LAC,L,3,0,0
Dorian Finney-Smith,DAL,05/28/2021,DAL vs. LAC,L,38,6,5
Derrick Rose,NYK,05/28/2021,NYK @ ATL,L,39,30,-16
De'Andre Hunter,ATL,05/28/2021,ATL vs. NYK,W,35,11,10
Danilo Gallinari,ATL,05/28/2021,ATL vs. NYK,W,24,12,3
Clint Capela,ATL,05/28/2021,ATL vs. NYK,W,34,13,15
Bruce Brown,BKN,05/28/2021,BKN @ BOS,L,15,2,2
Bogdan Bogdanovic,ATL,05/28/2021,ATL vs. NYK,W,39,15,11
Blake Griffin,BKN,05/28/2021,BKN @ BOS,L,25,4,16
Amir Coffey,LAC,05/28/2021,LAC @ DAL,W,0,0,0
Alec Burks,NYK,05/28/2021,NYK @ ATL,L,23,8,3
Aaron Nesmith,BOS,05/28/2021,BOS vs. BKN,W,9,0,1
Wesley Matthews,LAL,05/27/2021,LAL vs. PHX,W,18,8,8
Tyler Herro,MIA,05/27/2021,MIA vs. MIL,L,25,9,-17
Trevor Ariza,MIA,05/27/2021,MIA vs. MIL,L,18,0,-3
Torrey Craig,PHX,05/27/2021,PHX @ LAL,L,15,11,-12
Shaquille Harrison,DEN,05/27/2021,DEN @ POR,W,5,0,-3
Sam Merrill,MIL,05/27/2021,MIL @ MIA,W,4,0,-1
Rondae Hollis-Jefferson,POR,05/27/2021,POR vs. DEN,L,5,0,1
Robert Covington,POR,05/27/2021,POR vs. DEN,L,39,6,-3
Precious Achiuwa,MIA,05/27/2021,MIA vs. MIL,L,4,2,1
Paul Millsap,DEN,05/27/2021,DEN @ POR,W,12,5,-2
Pat Connaughton,MIL,05/27/2021,MIL @ MIA,W,18,9,19
P.J. Tucker,MIL,05/27/2021,MIL @ MIA,W,23,5,21
Norman Powell,POR,05/27/2021,POR vs. DEN,L,36,18,2
Nikola Jokic,DEN,05/27/2021,DEN @ POR,W,35,36,10
Nemanja Bjelica,MIA,05/27/2021,MIA vs. MIL,L,18,14,-15
Monte Morris,DEN,05/27/2021,DEN @ POR,W,25,8,-8
Mikal Bridges,PHX,05/27/2021,PHX @ LAL,L,34,6,-3
Michael Porter Jr.,DEN,05/27/2021,DEN @ POR,W,33,15,14
Markus Howard,DEN,05/27/2021,DEN @ POR,W,9,3,-1
Marc Gasol,LAL,05/27/2021,LAL vs. PHX,W,17,3,-11
Mamadi Diakite,MIL,05/27/2021,MIL @ MIA,W,4,2,-1
LeBron James,LAL,05/27/2021,LAL vs. PHX,W,38,21,15
Kyle Kuzma,LAL,05/27/2021,LAL vs. PHX,W,24,8,14
Khris Middleton,MIL,05/27/2021,MIL @ MIA,W,34,22,26
Kentavious Caldwell-Pope,LAL,05/27/2021,LAL vs. PHX,W,26,5,10
Kendrick Nunn,MIA,05/27/2021,MIA vs. MIL,L,17,4,-14
Jusuf Nurkic,POR,05/27/2021,POR vs. DEN,L,32,13,9
Jrue Holiday,MIL,05/27/2021,MIL @ MIA,W,34,19,41
Jordan Nwora,MIL,05/27/2021,MIL @ MIA,W,5,0,-1
Jimmy Butler,MIA,05/27/2021,MIA vs. MIL,L,38,19,-26
Jeff Teague,MIL,05/27/2021,MIL @ MIA,W,5,0,-8
Jae Crowder,PHX,05/27/2021,PHX @ LAL,L,31,9,-6
JaMychal Green,DEN,05/27/2021,DEN @ POR,W,17,8,-2
Goran Dragic,MIA,05/27/2021,MIA vs. MIL,L,29,8,-11
Giannis Antetokounmpo,MIL,05/27/2021,MIL @ MIA,W,33,17,4
Gabe Vincent,MIA,05/27/2021,MIA vs. MIL,L,6,2,1
Frank Kaminsky,PHX,05/27/2021,PHX @ LAL,L,7,0,0
Facundo Campazzo,DEN,05/27/2021,DEN @ POR,W,32,11,8
Enes Freedom,POR,05/27/2021,POR vs. DEN,L,6,0,-15
Elijah Bryant,MIL,05/27/2021,MIL @ MIA,W,4,4,-1
Duncan Robinson,MIA,05/27/2021,MIA vs. MIL,L,24,2,-13
Donte DiVincenzo,MIL,05/27/2021,MIL @ MIA,W,9,0,5
Dewayne Dedmon,MIA,05/27/2021,MIA vs. MIL,L,12,4,-18
Devin Booker,PHX,05/27/2021,PHX @ LAL,L,41,19,-7
Dennis Schroder,LAL,05/27/2021,LAL vs. PHX,W,33,20,6
Deandre Ayton,PHX,05/27/2021,PHX @ LAL,L,41,22,-14
Damian Lillard,POR,05/27/2021,POR vs. DEN,L,40,37,-6
Chris Paul,PHX,05/27/2021,PHX @ LAL,L,27,7,-20
Carmelo Anthony,POR,05/27/2021,POR vs. DEN,L,26,17,-11
Cameron Payne,PHX,05/27/2021,PHX @ LAL,L,27,15,0
Cameron Johnson,PHX,05/27/2021,PHX @ LAL,L,17,6,-8
CJ McCollum,POR,05/27/2021,POR vs. DEN,L,41,22,6
Bryn Forbes,MIL,05/27/2021,MIL @ MIA,W,20,11,10
Brook Lopez,MIL,05/27/2021,MIL @ MIA,W,27,13,15
Bobby Portis,MIL,05/27/2021,MIL @ MIA,W,17,11,15
Ben McLemore,LAL,05/27/2021,LAL vs. PHX,W,4,0,0
Bam Adebayo,MIA,05/27/2021,MIA vs. MIL,L,32,17,-12
Axel Toupane,MIL,05/27/2021,MIL @ MIA,W,2,0,1
Austin Rivers,DEN,05/27/2021,DEN @ POR,W,37,21,5
Anthony Davis,LAL,05/27/2021,LAL vs. PHX,W,40,34,11
Anfernee Simons,POR,05/27/2021,POR vs. DEN,L,16,2,-8
Andre Iguodala,MIA,05/27/2021,MIA vs. MIL,L,16,3,-18
Andre Drummond,LAL,05/27/2021,LAL vs. PHX,W,20,6,12
Alex Caruso,LAL,05/27/2021,LAL vs. PHX,W,20,4,5
Aaron Gordon,DEN,05/27/2021,DEN @ POR,W,34,13,4
Xavier Tillman Sr.,MEM,05/26/2021,MEM @ UTA,L,7,0,-8
Tyus Jones,MEM,05/26/2021,MEM @ UTA,L,5,2,-6
Tyrese Maxey,PHI,05/26/2021,PHI vs. WAS,W,14,10,8
Trae Young,ATL,05/26/2021,ATL @ NYK,L,35,30,5
Tony Snell,ATL,05/26/2021,ATL @ NYK,L,13,0,-14
Tobias Harris,PHI,05/26/2021,PHI vs. WAS,W,23,19,11
Taj Gibson,NYK,05/26/2021,NYK vs. ATL,W,30,6,23
Shake Milton,PHI,05/26/2021,PHI vs. WAS,W,14,0,0
Seth Curry,PHI,05/26/2021,PHI vs. WAS,W,23,9,19
Russell Westbrook,WAS,05/26/2021,WAS @ PHI,L,29,10,-16
Rui Hachimura,WAS,05/26/2021,WAS @ PHI,L,26,11,-6
Rudy Gobert,UTA,05/26/2021,UTA vs. MEM,W,36,21,9
Royce O'Neale,UTA,05/26/2021,UTA vs. MEM,W,34,14,-4
Robin Lopez,WAS,05/26/2021,WAS @ PHI,L,10,4,-12
Reggie Bullock,NYK,05/26/2021,NYK vs. ATL,W,31,15,13
Raul Neto,WAS,05/26/2021,WAS @ PHI,L,19,4,-17
RJ Barrett,NYK,05/26/2021,NYK vs. ATL,W,26,13,-3
Paul Reed,PHI,05/26/2021,PHI vs. WAS,W,5,4,2
Onyeka Okongwu,ATL,05/26/2021,ATL @ NYK,L,6,1,-2
Obi Toppin,NYK,05/26/2021,NYK vs. ATL,W,12,8,6
Nerlens Noel,NYK,05/26/2021,NYK vs. ATL,W,17,2,-14
Mike Scott,PHI,05/26/2021,PHI vs. WAS,W,5,0,2
Mike Conley,UTA,05/26/2021,UTA vs. MEM,W,37,20,4
Matisse Thybulle,PHI,05/26/2021,PHI vs. WAS,W,20,5,9
Lou Williams,ATL,05/26/2021,ATL @ NYK,L,13,5,-14
Kyle Anderson,MEM,05/26/2021,MEM @ UTA,L,36,11,2
Kevin Huerter,ATL,05/26/2021,ATL @ NYK,L,26,10,-19
Julius Randle,NYK,05/26/2021,NYK vs. ATL,W,36,15,3
Jordan Clarkson,UTA,05/26/2021,UTA vs. MEM,W,22,16,16
Jonas Valanciunas,MEM,05/26/2021,MEM @ UTA,L,30,18,5
John Collins,ATL,05/26/2021,ATL @ NYK,L,15,0,-5
Joel Embiid,PHI,05/26/2021,PHI vs. WAS,W,26,22,19
Joe Ingles,UTA,05/26/2021,UTA vs. MEM,W,28,14,7
Jaren Jackson Jr.,MEM,05/26/2021,MEM @ UTA,L,31,16,3
Ja Morant,MEM,05/26/2021,MEM @ UTA,L,43,47,-6
Ish Smith,WAS,05/26/2021,WAS @ PHI,L,23,10,-10
Isaiah Joe,PHI,05/26/2021,PHI vs. WAS,W,3,0,-2
Isaac Bonga,WAS,05/26/2021,WAS @ PHI,L,4,0,2
Immanuel Quickley,NYK,05/26/2021,NYK vs. ATL,W,15,4,8
Grayson Allen,MEM,05/26/2021,MEM @ UTA,L,19,0,-23
Georges Niang,UTA,05/26/2021,UTA vs. MEM,W,15,8,19
George Hill,PHI,05/26/2021,PHI vs. WAS,W,23,7,15
Garrison Mathews,WAS,05/26/2021,WAS @ PHI,L,8,0,-1
Furkan Korkmaz,PHI,05/26/2021,PHI vs. WAS,W,16,13,12
Elfrid Payton,NYK,05/26/2021,NYK vs. ATL,W,5,1,-7
Dwight Howard,PHI,05/26/2021,PHI vs. WAS,W,16,4,4
Donovan Mitchell,UTA,05/26/2021,UTA vs. MEM,W,26,25,9
Dillon Brooks,MEM,05/26/2021,MEM @ UTA,L,28,23,3
Desmond Bane,MEM,05/26/2021,MEM @ UTA,L,24,5,-14
Derrick Rose,NYK,05/26/2021,NYK vs. ATL,W,39,26,12
Derrick Favors,UTA,05/26/2021,UTA vs. MEM,W,12,5,3
De'Anthony Melton,MEM,05/26/2021,MEM @ UTA,L,17,7,-16
De'Andre Hunter,ATL,05/26/2021,ATL @ NYK,L,32,18,5
Davis Bertans,WAS,05/26/2021,WAS @ PHI,L,24,0,-11
Danny Green,PHI,05/26/2021,PHI vs. WAS,W,22,5,8
Danilo Gallinari,ATL,05/26/2021,ATL @ NYK,L,30,6,-2
Daniel Gafford,WAS,05/26/2021,WAS @ PHI,L,20,11,-1
Clint Capela,ATL,05/26/2021,ATL @ NYK,L,36,4,-4
Chandler Hutchison,WAS,05/26/2021,WAS @ PHI,L,16,4,-17
Cassius Winston,WAS,05/26/2021,WAS @ PHI,L,5,2,-2
Bradley Beal,WAS,05/26/2021,WAS @ PHI,L,35,33,-22
Bojan Bogdanovic,UTA,05/26/2021,UTA vs. MEM,W,30,18,-3
Bogdan Bogdanovic,ATL,05/26/2021,ATL @ NYK,L,35,18,5
Ben Simmons,PHI,05/26/2021,PHI vs. WAS,W,29,22,18
Anthony Tolliver,PHI,05/26/2021,PHI vs. WAS,W,2,0,0
Anthony Gill,WAS,05/26/2021,WAS @ PHI,L,8,0,-1
Alex Len,WAS,05/26/2021,WAS @ PHI,L,12,6,-11
Alec Burks,NYK,05/26/2021,NYK vs. ATL,W,30,11,4
Willie Cauley-Stein,DAL,05/25/2021,DAL @ LAC,W,15,6,-3
Wesley Matthews,LAL,05/25/2021,LAL @ PHX,W,4,0,-8
Tyler Johnson,BKN,05/25/2021,BKN vs. BOS,W,8,3,-3
Tristan Thompson,BOS,05/25/2021,BOS @ BKN,L,25,15,-23
Tremont Waters,BOS,05/25/2021,BOS @ BKN,L,4,3,0
Torrey Craig,PHX,05/25/2021,PHX vs. LAL,L,5,2,1
Timothe Luwawu-Cabarrot,BKN,05/25/2021,BKN vs. BOS,W,4,0,0
Tim Hardaway Jr.,DAL,05/25/2021,DAL @ LAC,W,38,28,13
Terance Mann,LAC,05/25/2021,LAC vs. DAL,L,15,8,5
Talen Horton-Tucker,LAL,05/25/2021,LAL @ PHX,W,6,1,-6
Serge Ibaka,LAC,05/25/2021,LAC vs. DAL,L,6,2,6
Semi Ojeleye,BOS,05/25/2021,BOS @ BKN,L,7,0,0
Romeo Langford,BOS,05/25/2021,BOS @ BKN,L,18,4,-3
Robert Williams III,BOS,05/25/2021,BOS @ BKN,L,17,8,1
Reggie Perry,BKN,05/25/2021,BKN vs. BOS,W,4,2,0
Reggie Jackson,LAC,05/25/2021,LAC vs. DAL,L,30,15,3
Rajon Rondo,LAC,05/25/2021,LAC vs. DAL,L,19,4,13
Payton Pritchard,BOS,05/25/2021,BOS @ BKN,L,13,2,-4
Paul George,LAC,05/25/2021,LAC vs. DAL,L,40,28,-18
Patrick Beverley,LAC,05/25/2021,LAC vs. DAL,L,23,3,-11
Nicolo Melli,DAL,05/25/2021,DAL @ LAC,W,6,0,-8
Nicolas Batum,LAC,05/25/2021,LAC vs. DAL,L,19,9,7
Nic Claxton,BKN,05/25/2021,BKN vs. BOS,W,18,0,4
Mike James,BKN,05/25/2021,BKN vs. BOS,W,8,4,-4
Mikal Bridges,PHX,05/25/2021,PHX vs. LAL,L,27,6,-13
Maxi Kleber,DAL,05/25/2021,DAL @ LAC,W,34,13,14
Markieff Morris,LAL,05/25/2021,LAL @ PHX,W,4,0,2
Marcus Smart,BOS,05/25/2021,BOS @ BKN,L,32,19,-18
Marcus Morris Sr.,LAC,05/25/2021,LAC vs. DAL,L,25,9,-12
Marc Gasol,LAL,05/25/2021,LAL @ PHX,W,20,6,-4
Luke Kornet,BOS,05/25/2021,BOS @ BKN,L,4,3,0
Luka Doncic,DAL,05/25/2021,DAL @ LAC,W,38,39,3
LeBron James,LAL,05/25/2021,LAL @ PHX,W,39,23,14
