TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIN,01/11/2019,MIN vs. DAL,L,241,115,47,102,46.1,10,24,41.7,11,13,84.6,17,36,53,27,5,10,13,20,-4
NYK,01/11/2019,NYK vs. IND,L,240,106,39,88,44.3,14,39,35.9,14,16,87.5,8,29,37,22,8,5,16,18,-15
POR,01/11/2019,POR vs. CHA,W,240,127,52,93,55.9,15,40,37.5,8,9,88.9,7,40,47,31,10,16,9,20,31
CLE,01/11/2019,CLE @ HOU,L,240,113,40,89,44.9,9,33,27.3,24,26,92.3,6,33,39,24,12,4,13,24,-28
IND,01/11/2019,IND @ NYK,W,240,121,49,94,52.1,12,26,46.2,11,11,100,11,36,47,30,8,1,14,15,15
CHI,01/11/2019,CHI @ GSW,L,240,109,35,78,44.9,9,20,45,30,34,88.2,5,24,29,16,9,1,13,21,-37
ATL,01/11/2019,ATL @ PHI,W,240,123,45,81,55.6,12,25,48,21,27,77.8,15,29,44,27,7,4,21,24,2
UTA,01/11/2019,UTA vs. LAL,W,242,113,38,96,39.6,15,42,35.7,22,32,68.8,15,50,65,24,9,9,16,20,18
MEM,01/12/2019,MEM @ MIA,L,240,108,39,81,48.1,9,29,31,21,27,77.8,10,28,38,18,9,6,10,21,-4
OKC,01/12/2019,OKC vs. SAS,W,240,122,43,93,46.2,11,23,47.8,25,29,86.2,7,40,47,27,10,5,7,16,10
UTA,01/12/2019,UTA vs. CHI,W,242,110,38,88,43.2,16,45,35.6,18,25,72,10,42,52,23,6,11,13,18,8
SAC,01/12/2019,SAC vs. CHA,W,240,104,41,99,41.4,14,37,37.8,8,12,66.7,12,37,49,27,8,5,11,21,7
LAC,01/12/2019,LAC vs. DET,L,241,104,36,74,48.6,9,18,50,23,29,79.3,6,32,38,25,7,5,17,19,-5
CHA,01/12/2019,CHA @ SAC,L,240,97,36,88,40.9,12,36,33.3,13,22,59.1,13,43,56,21,6,11,18,17,-7
CHI,01/12/2019,CHI @ UTA,L,239,102,40,97,41.2,7,25,28,15,17,88.2,10,37,47,24,8,7,9,19,-8
MIA,01/12/2019,MIA vs. MEM,W,242,112,40,80,50,15,31,48.4,17,24,70.8,10,28,38,25,7,4,14,23,4
PHX,01/12/2019,PHX vs. DEN,W,240,102,38,92,41.3,8,26,30.8,18,25,72,14,35,49,29,11,9,9,19,9
NOP,01/12/2019,NOP @ MIN,L,240,106,40,87,46,5,24,20.8,21,24,87.5,10,38,48,22,7,8,15,20,-4
DEN,01/12/2019,DEN @ PHX,L,239,93,34,88,38.6,10,31,32.3,15,22,68.2,13,37,50,25,7,6,15,19,-9
ORL,01/12/2019,ORL vs. BOS,W,241,105,36,84,42.9,11,38,28.9,22,24,91.7,9,41,50,21,2,5,15,20,2
BOS,01/12/2019,BOS @ ORL,L,239,103,38,90,42.2,8,32,25,19,28,67.9,10,36,46,19,7,3,8,18,-2
MIN,01/12/2019,MIN vs. NOP,W,241,110,40,93,43,11,39,28.2,19,24,79.2,15,35,50,23,7,5,13,20,4
DET,01/12/2019,DET @ LAC,W,240,109,37,85,43.5,16,37,43.2,19,22,86.4,14,34,48,20,12,5,16,26,5
SAS,01/12/2019,SAS @ OKC,L,240,112,44,96,45.8,10,31,32.3,14,20,70,13,39,52,21,5,7,14,18,-10
WAS,01/13/2019,WAS vs. TOR,L,290,138,54,118,45.8,19,44,43.2,11,18,61.1,17,34,51,36,11,7,20,28,-2
LAL,01/13/2019,LAL vs. CLE,L,240,95,36,91,39.6,7,34,20.6,16,27,59.3,13,38,51,21,4,5,11,22,-6
DEN,01/13/2019,DEN vs. POR,W,239,116,45,81,55.6,9,22,40.9,17,20,85,4,31,35,21,5,0,11,20,3
GSW,01/13/2019,GSW @ DAL,W,240,119,45,99,45.5,19,45,42.2,10,12,83.3,16,33,49,26,9,8,10,22,5
MIL,01/13/2019,MIL @ ATL,W,238,133,49,92,53.3,11,30,36.7,24,33,72.7,8,31,39,28,13,4,14,25,19
NYK,01/13/2019,NYK vs. PHI,L,241,105,37,86,43,10,31,32.3,21,30,70,7,27,34,24,8,5,10,21,-3
HOU,01/13/2019,HOU @ ORL,L,240,109,38,86,44.2,10,42,23.8,23,27,85.2,9,29,38,20,7,1,10,21,-7
POR,01/13/2019,POR @ DEN,L,239,113,40,88,45.5,12,34,35.3,21,22,95.5,8,31,39,25,5,1,9,22,-3
ORL,01/13/2019,ORL vs. HOU,W,241,116,41,85,48.2,9,24,37.5,25,28,89.3,12,33,45,25,6,2,11,21,7
CLE,01/13/2019,CLE @ LAL,W,239,101,38,89,42.7,8,21,38.1,17,23,73.9,10,42,52,18,5,2,10,21,6
DAL,01/13/2019,DAL vs. GSW,L,240,114,38,91,41.8,16,38,42.1,22,29,75.9,18,33,51,21,5,4,12,14,-5
TOR,01/13/2019,TOR @ WAS,W,290,140,49,104,47.1,13,36,36.1,29,36,80.6,17,42,59,24,16,8,21,27,2
ATL,01/13/2019,ATL vs. MIL,L,240,114,39,96,40.6,12,38,31.6,24,30,80,18,36,54,19,3,5,24,30,-19
PHI,01/13/2019,PHI @ NYK,W,239,108,40,87,46,6,20,30,22,30,73.3,12,44,56,22,4,9,16,21,3
MEM,01/14/2019,MEM @ HOU,L,241,94,36,71,50.7,10,22,45.5,12,22,54.5,9,34,43,31,5,5,24,20,-18
CHA,01/14/2019,CHA @ SAS,W,240,108,43,92,46.7,13,36,36.1,9,11,81.8,8,37,45,24,7,4,7,14,15
SAS,01/14/2019,SAS vs. CHA,L,241,93,38,82,46.3,7,20,35,10,12,83.3,3,33,36,21,4,6,12,15,-15
BOS,01/14/2019,BOS @ BKN,L,240,102,37,91,40.7,11,36,30.6,17,23,73.9,10,31,41,21,10,8,10,21,-7
SAC,01/14/2019,SAC vs. POR,W,240,115,43,87,49.4,10,26,38.5,19,24,79.2,11,37,48,24,6,6,13,23,8
DET,01/14/2019,DET @ UTA,L,239,94,35,90,38.9,11,36,30.6,13,16,81.3,5,33,38,16,13,4,9,27,-6
UTA,01/14/2019,UTA vs. DET,W,240,100,31,80,38.8,12,37,32.4,26,36,72.2,11,44,55,20,5,3,17,18,6
POR,01/14/2019,POR @ SAC,L,240,107,37,92,40.2,10,31,32.3,23,29,79.3,17,32,49,22,6,3,14,23,-8
HOU,01/14/2019,HOU vs. MEM,W,240,112,37,84,44,18,48,37.5,20,22,90.9,7,29,36,17,12,3,13,20,18
LAC,01/14/2019,LAC vs. NOP,L,240,117,41,86,47.7,18,36,50,17,24,70.8,8,42,50,34,4,7,16,21,-4
NOP,01/14/2019,NOP @ LAC,W,240,121,46,105,43.8,8,25,32,21,28,75,15,34,49,28,8,7,6,19,4
BKN,01/14/2019,BKN vs. BOS,W,240,109,37,86,43,13,38,34.2,22,25,88,13,42,55,18,5,7,17,20,7
CHI,01/15/2019,CHI @ LAL,L,241,100,37,92,40.2,9,31,29,17,24,70.8,13,33,46,21,11,6,13,26,-7
DEN,01/15/2019,DEN vs. GSW,L,238,111,42,92,45.7,14,34,41.2,13,16,81.3,9,27,36,30,4,3,8,12,-31
MIN,01/15/2019,MIN @ PHI,L,240,107,35,90,38.9,8,23,34.8,29,35,82.9,9,25,34,18,10,2,11,19,-42
PHX,01/15/2019,PHX @ IND,L,241,97,40,95,42.1,8,27,29.6,9,18,50,10,33,43,26,8,6,19,30,-34
LAL,01/15/2019,LAL vs. CHI,W,240,107,38,82,46.3,8,26,30.8,23,34,67.6,13,38,51,21,7,4,17,18,7
PHI,01/15/2019,PHI vs. MIN,W,240,149,55,92,59.8,21,43,48.8,18,21,85.7,8,46,54,40,6,11,15,29,42
MIL,01/15/2019,MIL vs. MIA,W,240,124,48,96,50,17,39,43.6,11,18,61.1,7,46,53,35,8,6,7,12,38
GSW,01/15/2019,GSW @ DEN,W,241,142,57,95,60,21,39,53.8,7,10,70,12,38,50,38,6,4,10,20,31
IND,01/15/2019,IND vs. PHX,W,241,131,46,89,51.7,12,25,48,27,36,75,9,43,52,31,11,7,14,17,34
MIA,01/15/2019,MIA @ MIL,L,239,86,36,86,41.9,8,34,23.5,6,8,75,4,39,43,27,2,6,17,14,-38
OKC,01/15/2019,OKC @ ATL,L,240,126,43,94,45.7,9,32,28.1,31,41,75.6,15,25,40,22,16,3,12,18,-16
ATL,01/15/2019,ATL vs. OKC,W,240,142,56,90,62.2,18,37,48.6,12,16,75,10,34,44,36,8,4,18,28,16
DET,01/16/2019,DET vs. ORL,W,266,120,44,92,47.8,12,30,40,20,25,80,14,33,47,26,4,4,10,16,5
GSW,01/16/2019,GSW vs. NOP,W,239,147,49,102,48,24,49,49,25,31,80.6,10,47,57,33,8,5,10,24,7
BOS,01/16/2019,BOS vs. TOR,W,239,117,46,92,50,14,30,46.7,11,13,84.6,14,35,49,32,7,6,14,24,9
ORL,01/16/2019,ORL @ DET,L,265,115,47,94,50,14,39,35.9,7,13,53.8,8,29,37,29,6,3,11,21,-5
HOU,01/16/2019,HOU vs. BKN,L,266,142,45,105,42.9,23,70,32.9,29,34,85.3,10,37,47,18,7,8,8,24,-3
TOR,01/16/2019,TOR @ BOS,L,240,108,41,92,44.6,7,29,24.1,19,21,90.5,14,28,42,20,9,2,10,14,-9
DAL,01/16/2019,DAL vs. SAS,L,240,101,37,86,43,15,42,35.7,12,16,75,13,29,42,22,6,3,13,14,-4
LAC,01/16/2019,LAC vs. UTA,L,239,109,45,98,45.9,10,22,45.5,9,14,64.3,11,30,41,24,8,1,12,24,-20
MIL,01/16/2019,MIL @ MEM,W,241,111,40,84,47.6,12,34,35.3,19,22,86.4,5,45,50,27,9,8,15,25,10
NOP,01/16/2019,NOP @ GSW,L,239,140,47,98,48,19,37,51.4,27,33,81.8,7,42,49,36,6,5,10,23,-7
CLE,01/16/2019,CLE @ POR,L,241,112,45,95,47.4,6,19,31.6,16,19,84.2,12,29,41,17,0,5,3,18,-17
MEM,01/16/2019,MEM vs. MIL,L,240,101,37,95,38.9,10,31,32.3,17,25,68,13,35,48,29,11,9,14,15,-10
SAS,01/16/2019,SAS @ DAL,W,240,105,41,83,49.4,13,30,43.3,10,12,83.3,11,25,36,26,9,6,9,19,4
POR,01/16/2019,POR vs. CLE,W,239,129,47,89,52.8,16,29,55.2,19,23,82.6,7,34,41,28,1,6,4,17,17
BKN,01/16/2019,BKN @ HOU,W,265,145,56,108,51.9,16,36,44.4,17,22,77.3,16,41,57,29,4,3,13,25,3
UTA,01/16/2019,UTA @ LAC,W,241,129,44,86,51.2,11,33,33.3,30,37,81.1,8,40,48,27,9,7,13,15,26
NYK,01/17/2019,NYK @ WAS,L,241,100,39,87,44.8,12,29,41.4,10,12,83.3,6,36,42,15,6,3,14,16,-1
CHA,01/17/2019,CHA vs. SAC,W,240,114,39,87,44.8,11,38,28.9,25,29,86.2,12,34,46,21,11,4,13,16,19
WAS,01/17/2019,WAS vs. NYK,W,239,101,40,92,43.5,7,27,25.9,14,20,70,15,36,51,23,9,2,13,10,1
SAC,01/17/2019,SAC @ CHA,L,239,95,39,88,44.3,11,33,33.3,6,13,46.2,11,31,42,28,7,3,17,22,-19
PHX,01/17/2019,PHX @ TOR,L,240,109,36,84,42.9,9,30,30,28,36,77.8,15,31,46,18,9,8,16,21,-2
IND,01/17/2019,IND vs. PHI,L,241,96,39,97,40.2,9,29,31,9,12,75,12,28,40,23,9,3,12,14,-24
DEN,01/17/2019,DEN vs. CHI,W,238,135,50,96,52.1,20,40,50,15,20,75,13,32,45,34,6,2,7,16,30
PHI,01/17/2019,PHI @ IND,W,240,120,46,87,52.9,18,34,52.9,10,11,90.9,9,42,51,38,8,6,16,10,24
LAL,01/17/2019,LAL @ OKC,W,265,138,50,99,50.5,19,40,47.5,19,21,90.5,14,49,63,37,11,5,23,24,10
TOR,01/17/2019,TOR vs. PHX,W,240,111,43,86,50,7,28,25,18,25,72,9,30,39,27,8,8,14,27,2
CHI,01/17/2019,CHI @ DEN,L,240,105,44,93,47.3,10,28,35.7,7,11,63.6,16,29,45,27,3,3,12,21,-30
OKC,01/17/2019,OKC vs. LAL,L,265,128,41,104,39.4,22,54,40.7,24,36,66.7,15,29,44,31,10,4,15,22,-10
BOS,01/18/2019,BOS vs. MEM,W,240,122,44,86,51.2,17,38,44.7,17,22,77.3,10,42,52,29,5,9,17,20,6
GSW,01/18/2019,GSW @ LAC,W,239,112,42,86,48.8,9,37,24.3,19,27,70.4,3,40,43,31,11,8,10,24,18
MIA,01/18/2019,MIA @ DET,L,240,93,39,77,50.6,10,29,34.5,5,19,26.3,7,38,45,25,3,6,19,20,-5
POR,01/18/2019,POR vs. NOP,W,238,128,48,103,46.6,11,34,32.4,21,26,80.8,18,35,53,30,8,3,6,22,16
SAS,01/18/2019,SAS @ MIN,W,240,116,41,82,50,11,24,45.8,23,29,79.3,9,32,41,24,3,4,16,25,3
ORL,01/18/2019,ORL vs. BKN,L,240,115,47,94,50,10,26,38.5,11,14,78.6,12,37,49,26,5,6,13,18,-2
LAC,01/18/2019,LAC vs. GSW,L,242,94,31,85,36.5,4,25,16,28,35,80,12,40,52,11,6,4,18,30,-18
UTA,01/18/2019,UTA vs. CLE,W,241,115,44,85,51.8,13,37,35.1,14,15,93.3,8,40,48,33,6,5,19,22,16
DET,01/18/2019,DET vs. MIA,W,240,98,35,82,42.7,13,33,39.4,15,18,83.3,8,34,42,23,7,2,11,20,5
CLE,01/18/2019,CLE @ UTA,L,240,99,36,87,41.4,7,24,29.2,20,26,76.9,6,31,37,16,9,3,14,19,-16
MIN,01/18/2019,MIN vs. SAS,L,240,113,37,84,44,7,26,26.9,32,38,84.2,10,34,44,21,5,3,11,28,-3
MEM,01/18/2019,MEM @ BOS,L,242,116,41,92,44.6,16,35,45.7,18,20,90,9,30,39,33,11,5,9,22,-6
NOP,01/18/2019,NOP @ POR,L,242,112,41,84,48.8,8,25,32,22,27,81.5,7,34,41,23,4,6,12,24,-16
BKN,01/18/2019,BKN @ ORL,W,240,117,44,97,45.4,19,46,41.3,10,15,66.7,9,32,41,24,5,5,11,19,2
DEN,01/19/2019,DEN vs. CLE,W,240,124,50,89,56.2,15,37,40.5,9,11,81.8,12,31,43,33,7,2,11,25,22
MIA,01/19/2019,MIA @ CHI,W,241,117,45,79,57,13,32,40.6,14,23,60.9,7,39,46,27,5,6,17,23,14
CHA,01/19/2019,CHA vs. PHX,W,240,135,48,88,54.5,16,34,47.1,23,27,85.2,14,39,53,31,5,8,16,26,20
BOS,01/19/2019,BOS @ ATL,W,242,113,39,88,44.3,12,32,37.5,23,25,92,11,32,43,19,10,8,15,18,8
PHX,01/19/2019,PHX @ CHA,L,240,115,39,87,44.8,11,33,33.3,26,33,78.8,7,19,26,21,7,7,7,26,-20
PHI,01/19/2019,PHI vs. OKC,L,240,115,38,81,46.9,11,32,34.4,28,39,71.8,12,35,47,28,6,7,17,20,-2
HOU,01/19/2019,HOU vs. LAL,W,264,138,42,100,42,25,68,36.8,29,36,80.6,12,27,39,23,9,4,12,27,4
DAL,01/19/2019,DAL @ IND,L,239,99,37,88,42,9,37,24.3,16,20,80,14,30,44,21,5,4,13,18,-12
CLE,01/19/2019,CLE @ DEN,L,240,102,35,72,48.6,10,29,34.5,22,26,84.6,5,23,28,20,5,1,12,15,-22
ATL,01/19/2019,ATL vs. BOS,L,240,105,40,92,43.5,12,41,29.3,13,14,92.9,13,36,49,28,8,6,20,20,-8
MEM,01/19/2019,MEM @ TOR,L,240,90,34,80,42.5,10,29,34.5,12,15,80,10,32,42,21,7,3,24,13,-29
OKC,01/19/2019,OKC @ PHI,W,239,117,41,93,44.1,12,31,38.7,23,26,88.5,11,34,45,20,10,6,10,24,2
ORL,01/19/2019,ORL vs. MIL,L,240,108,44,93,47.3,14,32,43.8,6,9,66.7,5,27,32,31,5,3,8,15,-10
CHI,01/19/2019,CHI vs. MIA,L,241,103,35,89,39.3,12,27,44.4,21,26,80.8,12,31,43,19,9,1,13,25,-14
LAL,01/19/2019,LAL @ HOU,L,264,134,50,96,52.1,10,37,27,24,30,80,13,43,56,27,6,4,15,27,-4
IND,01/19/2019,IND vs. DAL,W,242,111,42,85,49.4,8,24,33.3,19,24,79.2,11,34,45,23,6,4,11,22,12
DET,01/19/2019,DET vs. SAC,L,240,101,36,82,43.9,10,29,34.5,19,25,76,13,33,46,21,6,2,14,23,-2
SAC,01/19/2019,SAC @ DET,W,240,103,40,89,44.9,10,25,40,13,18,72.2,11,28,39,30,5,5,11,20,2
TOR,01/19/2019,TOR vs. MEM,W,240,119,44,90,48.9,17,36,47.2,14,16,87.5,8,29,37,31,19,8,10,17,29
MIL,01/19/2019,MIL @ ORL,W,240,118,47,85,55.3,12,30,40,12,15,80,4,42,46,22,7,7,13,14,10
SAS,01/20/2019,SAS vs. LAC,L,241,95,39,84,46.4,8,19,42.1,9,17,52.9,10,41,51,21,6,8,18,25,-8
IND,01/20/2019,IND vs. CHA,W,238,120,47,100,47,14,27,51.9,12,12,100,12,39,51,34,10,7,8,18,25
MIN,01/20/2019,MIN vs. PHX,W,241,116,39,91,42.9,6,24,25,32,40,80,12,33,45,22,8,4,15,26,2
PHX,01/20/2019,PHX @ MIN,L,240,114,40,86,46.5,12,39,30.8,22,32,68.8,9,29,38,22,9,5,15,27,-2
LAC,01/20/2019,LAC @ SAS,W,241,103,39,85,45.9,11,21,52.4,14,24,58.3,4,37,41,23,11,2,11,18,8
CHA,01/20/2019,CHA @ IND,L,240,95,33,82,40.2,12,35,34.3,17,25,68,7,37,44,20,5,6,16,14,-25
SAC,01/21/2019,SAC @ BKN,L,239,94,39,93,41.9,10,25,40,6,11,54.5,10,27,37,26,8,4,14,20,-29
MIL,01/21/2019,MIL vs. DAL,W,241,116,42,91,46.2,12,32,37.5,20,22,90.9,8,43,51,21,9,7,14,19,10
ORL,01/21/2019,ORL @ ATL,W,241,122,46,91,50.5,11,29,37.9,19,21,90.5,9,36,45,29,8,8,11,22,19
UTA,01/21/2019,UTA vs. POR,L,241,104,36,91,39.6,7,33,21.2,25,31,80.6,13,35,48,21,5,8,15,19,-5
DET,01/21/2019,DET @ WAS,L,240,87,31,77,40.3,11,34,32.4,14,18,77.8,2,38,40,22,5,3,17,21,-14
CLE,01/21/2019,CLE vs. CHI,L,240,88,31,87,35.6,6,27,22.2,20,29,69,11,27,38,16,8,4,14,18,-16
ATL,01/21/2019,ATL vs. ORL,L,241,103,39,86,45.3,9,30,30,16,23,69.6,9,35,44,23,5,3,13,24,-19
LAL,01/21/2019,LAL vs. GSW,L,241,111,42,84,50,5,20,25,22,38,57.9,7,35,42,20,1,4,14,19,-19
DAL,01/21/2019,DAL @ MIL,L,240,106,41,99,41.4,14,40,35,10,17,58.8,11,37,48,24,7,11,11,19,-10
GSW,01/21/2019,GSW @ LAL,W,239,130,50,98,51,16,37,43.2,14,19,73.7,13,37,50,41,8,6,10,27,19
OKC,01/21/2019,OKC @ NYK,W,241,127,45,83,54.2,15,29,51.7,22,27,81.5,10,39,49,26,7,2,18,31,18
NOP,01/21/2019,NOP @ MEM,W,239,105,39,74,52.7,9,26,34.6,18,26,69.2,7,43,50,19,8,7,19,17,20
WAS,01/21/2019,WAS vs. DET,W,240,101,36,79,45.6,8,23,34.8,21,27,77.8,5,40,45,24,7,6,13,18,14
BOS,01/21/2019,BOS vs. MIA,W,240,107,43,87,49.4,12,30,40,9,10,90,8,28,36,26,13,7,19,21,8
MIA,01/21/2019,MIA @ BOS,L,240,99,36,86,41.9,11,35,31.4,16,18,88.9,10,28,38,25,11,5,19,16,-8
POR,01/21/2019,POR @ UTA,W,238,109,45,90,50,8,18,44.4,11,15,73.3,7,37,44,30,6,9,8,22,5
PHI,01/21/2019,PHI vs. HOU,W,241,121,43,88,48.9,8,23,34.8,27,33,81.8,10,45,55,21,9,14,13,22,28
BKN,01/21/2019,BKN vs. SAC,W,240,123,45,90,50,13,35,37.1,20,24,83.3,12,44,56,25,9,4,16,15,29
MEM,01/21/2019,MEM vs. NOP,L,239,85,33,88,37.5,9,35,25.7,10,17,58.8,10,25,35,21,10,1,11,19,-20
HOU,01/21/2019,HOU @ PHI,L,241,93,31,86,36,11,42,26.2,20,26,76.9,6,32,38,14,9,6,12,25,-28
CHI,01/21/2019,CHI @ CLE,W,242,104,36,76,47.4,15,30,50,17,22,77.3,8,42,50,24,8,2,18,26,16
NYK,01/21/2019,NYK vs. OKC,L,241,109,39,87,44.8,7,23,30.4,24,32,75,11,25,36,25,8,3,12,23,-18
SAC,01/22/2019,SAC @ TOR,L,241,105,41,91,45.1,7,21,33.3,16,22,72.7,10,33,43,29,8,7,14,27,-15
OKC,01/22/2019,OKC vs. POR,W,241,123,43,85,50.6,11,23,47.8,26,33,78.8,9,28,37,26,16,4,10,20,9
PHX,01/22/2019,PHX vs. MIN,L,239,91,37,87,42.5,7,34,20.6,10,18,55.6,5,29,34,23,6,9,13,17,-27
MIN,01/22/2019,MIN @ PHX,W,242,118,45,103,43.7,15,42,35.7,13,19,68.4,20,44,64,30,7,1,14,18,27
DAL,01/22/2019,DAL vs. LAC,W,240,106,38,81,46.9,10,34,29.4,20,29,69,9,39,48,21,5,6,11,25,8
POR,01/22/2019,POR @ OKC,L,239,114,43,95,45.3,10,36,27.8,18,22,81.8,20,32,52,21,7,3,19,20,-9
TOR,01/22/2019,TOR vs. SAC,W,239,120,40,91,44,16,40,40,24,35,68.6,12,34,46,25,7,5,16,21,15
LAC,01/22/2019,LAC @ DAL,L,239,98,33,91,36.3,10,36,27.8,22,29,75.9,14,27,41,19,4,4,7,26,-8
CLE,01/23/2019,CLE @ BOS,L,241,103,38,87,43.7,13,30,43.3,14,20,70,15,29,44,20,4,4,20,18,-20
BKN,01/23/2019,BKN vs. ORL,W,239,114,43,90,47.8,10,32,31.3,18,23,78.3,12,33,45,20,7,2,16,22,4
MIA,01/23/2019,MIA vs. LAC,L,241,99,39,83,47,8,28,28.6,13,22,59.1,12,28,40,23,3,3,14,19,-12
UTA,01/23/2019,UTA vs. DEN,W,239,114,38,88,43.2,19,46,41.3,19,27,70.4,12,28,40,28,7,7,13,20,6
BOS,01/23/2019,BOS vs. CLE,W,239,123,45,86,52.3,12,25,48,21,23,91.3,9,34,43,25,12,5,14,20,20
TOR,01/23/2019,TOR @ IND,L,239,106,38,92,41.3,12,39,30.8,18,23,78.3,10,35,45,28,2,5,9,22,-4
PHI,01/23/2019,PHI vs. SAS,W,239,122,47,93,50.5,17,36,47.2,11,14,78.6,13,29,42,35,9,5,11,14,2
ATL,01/23/2019,ATL @ CHI,W,242,121,45,90,50,15,40,37.5,16,21,76.2,16,35,51,31,11,2,17,20,20
CHI,01/23/2019,CHI vs. ATL,L,239,101,35,79,44.3,8,26,30.8,23,27,85.2,7,30,37,20,7,6,15,21,-20
IND,01/23/2019,IND vs. TOR,W,241,110,40,92,43.5,9,26,34.6,21,25,84,12,36,48,27,6,7,6,23,4
DEN,01/23/2019,DEN @ UTA,L,240,108,42,88,47.7,8,27,29.6,16,20,80,12,38,50,20,7,9,14,25,-7.2
MEM,01/23/2019,MEM vs. CHA,L,241,107,38,81,46.9,9,31,29,22,24,91.7,6,32,38,25,8,3,10,25,-11
HOU,01/23/2019,HOU @ NYK,W,240,114,37,90,41.1,11,44,25,29,38,76.3,15,29,44,10,15,10,12,25,4
NOP,01/23/2019,NOP vs. DET,L,239,94,42,91,46.2,6,22,27.3,4,9,44.4,8,41,49,20,3,9,12,18,-4
SAS,01/23/2019,SAS @ PHI,L,239,120,47,82,57.3,13,27,48.1,13,15,86.7,5,31,36,24,8,6,15,15,-2
LAC,01/23/2019,LAC @ MIA,W,241,111,45,85,52.9,7,22,31.8,14,21,66.7,7,34,41,23,5,3,7,20,12
NYK,01/23/2019,NYK vs. HOU,L,240,110,37,81,45.7,11,30,36.7,25,30,83.3,10,38,48,15,5,7,18,23,-4
CHA,01/23/2019,CHA @ MEM,W,241,118,41,77,53.2,12,30,40,24,31,77.4,5,32,37,23,8,2,9,19,11
ORL,01/23/2019,ORL @ BKN,L,240,110,38,89,42.7,11,34,32.4,23,28,82.1,11,31,42,22,7,11,13,19,-4
DET,01/23/2019,DET @ NOP,W,239,98,36,89,40.4,13,39,33.3,13,19,68.4,9,40,49,24,5,3,9,15,4
PHX,01/24/2019,PHX vs. POR,L,240,106,36,88,40.9,13,38,34.2,21,27,77.8,9,30,39,19,9,4,16,22,-14
NOP,01/24/2019,NOP @ OKC,L,240,116,49,101,48.5,10,36,27.8,8,12,66.7,8,34,42,34,7,6,12,16,-6
WAS,01/24/2019,WAS vs. GSW,L,239,118,44,95,46.3,15,42,35.7,15,21,71.4,9,27,36,29,7,2,10,22,-8
POR,01/24/2019,POR @ PHX,W,241,120,44,94,46.8,12,26,46.2,20,20,100,14,39,53,25,8,8,16,24,14
MIN,01/24/2019,MIN @ LAL,W,240,120,44,102,43.1,10,33,30.3,22,25,88,22,33,55,24,8,3,12,15,15
OKC,01/24/2019,OKC vs. NOP,W,240,122,50,101,49.5,14,32,43.8,8,16,50,14,43,57,33,8,2,14,15,6
GSW,01/24/2019,GSW @ WAS,W,239,126,50,88,56.8,7,20,35,19,21,90.5,8,42,50,34,5,6,15,21,8
LAL,01/24/2019,LAL vs. MIN,L,238,105,44,87,50.6,8,28,28.6,9,14,64.3,9,30,39,28,5,5,19,23,-15
WAS,01/25/2019,WAS @ ORL,W,240,95,35,79,44.3,15,27,55.6,10,12,83.3,5,33,38,26,9,1,12,15,4
MIA,01/25/2019,MIA @ CLE,W,242,100,37,79,46.8,9,23,39.1,17,25,68,11,36,47,19,6,4,14,18,6
TOR,01/25/2019,TOR @ HOU,L,243,119,44,91,48.4,14,36,38.9,17,18,94.4,12,35,47,27,4,1,19,25,-2
DAL,01/25/2019,DAL vs. DET,W,240,106,37,81,45.7,14,36,38.9,18,30,60,9,34,43,24,8,6,9,25,5
MIL,01/25/2019,MIL vs. CHA,W,239,108,41,89,46.1,6,31,19.4,20,23,87,6,40,46,17,9,6,11,18,9
SAC,01/25/2019,SAC @ MEM,W,241,99,37,91,40.7,12,33,36.4,13,17,76.5,12,37,49,23,11,5,17,25,3
HOU,01/25/2019,HOU vs. TOR,W,240,121,41,91,45.1,10,46,21.7,29,33,87.9,12,28,40,17,11,5,12,21,2
PHX,01/25/2019,PHX @ DEN,L,241,95,32,76,42.1,7,30,23.3,24,26,92.3,2,33,35,20,4,7,15,25,-37
LAC,01/25/2019,LAC @ CHI,W,239,106,38,82,46.3,8,21,38.1,22,29,75.9,5,45,50,27,3,4,16,14,5
DET,01/25/2019,DET @ DAL,L,240,101,35,85,41.2,12,38,31.6,19,25,76,13,33,46,22,6,0,12,26,-5
CHI,01/25/2019,CHI vs. LAC,L,240,101,40,102,39.2,10,35,28.6,11,12,91.7,12,37,49,20,11,5,8,23,-5
MIN,01/25/2019,MIN @ UTA,L,241,102,38,90,42.2,8,26,30.8,18,21,85.7,12,38,50,20,5,5,14,22,-4
CLE,01/25/2019,CLE vs. MIA,L,240,94,37,85,43.5,10,30,33.3,10,13,76.9,9,33,42,23,8,2,13,21,-6
MEM,01/25/2019,MEM vs. SAC,L,240,96,34,80,42.5,6,20,30,22,27,81.5,9,35,44,22,13,5,16,22,-3
UTA,01/25/2019,UTA vs. MIN,W,240,106,37,94,39.4,13,40,32.5,19,25,76,16,31,47,25,9,8,11,19,4
BKN,01/25/2019,BKN vs. NYK,W,241,109,34,84,40.5,9,33,27.3,32,47,68.1,18,42,60,19,5,2,19,21,10
NYK,01/25/2019,NYK @ BKN,L,241,99,37,87,42.5,8,31,25.8,17,26,65.4,6,27,33,17,12,11,8,31,-10
