TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DET,11/09/2018,DET @ ATL,W,241,124,46,97,47.4,20,47,42.6,12,19,63.2,10,34,44,30,10,6,10,31,15
DEN,11/09/2018,DEN vs. BKN,L,239,110,40,87,46,5,18,27.8,25,34,73.5,15,39,54,20,3,5,12,28,-2
SAS,11/10/2018,SAS vs. HOU,W,239,96,33,74,44.6,10,20,50,20,27,74.1,8,38,46,17,3,5,15,20,7
MEM,11/10/2018,MEM vs. PHI,W,267,112,45,103,43.7,11,30,36.7,11,15,73.3,15,30,45,16,9,3,11,18,6
HOU,11/10/2018,HOU @ SAS,L,241,89,30,90,33.3,9,41,22,20,29,69,15,34,49,11,10,5,8,24,-7
PHX,11/10/2018,PHX @ NOP,L,241,99,35,86,40.7,10,36,27.8,19,20,95,10,27,37,16,10,7,14,27,-20
NOP,11/10/2018,NOP vs. PHX,W,241,119,42,86,48.8,11,25,44,24,29,82.8,16,38,54,28,7,7,18,18,20
BKN,11/10/2018,BKN @ GSW,L,240,100,36,77,46.8,7,24,29.2,21,29,72.4,12,29,41,20,7,2,14,22,-16
MIA,11/10/2018,MIA vs. WAS,L,241,110,39,88,44.3,12,33,36.4,20,26,76.9,14,24,38,25,5,5,19,31,-9.2
OKC,11/10/2018,OKC @ DAL,L,240,96,38,97,39.2,9,34,26.5,11,18,61.1,26,27,53,17,9,2,16,19,-15
PHI,11/10/2018,PHI @ MEM,L,265,106,44,85,51.8,8,31,25.8,10,16,62.5,8,40,48,27,10,6,23,20,-6
DAL,11/10/2018,DAL vs. OKC,W,240,111,43,77,55.8,14,29,48.3,11,17,64.7,4,34,38,31,9,5,16,23,15
LAL,11/10/2018,LAL @ SAC,W,240,101,41,99,41.4,12,38,31.6,7,17,41.2,17,42,59,23,11,3,14,20,15
WAS,11/10/2018,WAS @ MIA,W,240,116,40,83,48.2,8,22,36.4,28,38,73.7,16,32,48,14,8,5,15,25,6
CLE,11/10/2018,CLE @ CHI,L,241,98,39,91,42.9,8,21,38.1,12,18,66.7,15,38,53,15,5,6,12,17,-1
SAC,11/10/2018,SAC vs. LAL,L,239,86,32,92,34.8,6,25,24,16,20,80,13,37,50,11,7,5,19,20,-15
NYK,11/10/2018,NYK @ TOR,L,241,112,44,96,45.8,6,22,27.3,18,22,81.8,16,31,47,18,12,6,14,26,-16
TOR,11/10/2018,TOR vs. NYK,W,239,128,42,79,53.2,14,35,40,30,40,75,12,34,46,24,8,4,15,20,16
MIL,11/10/2018,MIL @ LAC,L,265,126,47,105,44.8,16,46,34.8,16,23,69.6,15,37,52,31,11,8,17,26,-0.2
LAC,11/10/2018,LAC vs. MIL,W,265,128,46,99,46.5,14,34,41.2,22,27,81.5,10,44,54,26,6,6,17,19,0
GSW,11/10/2018,GSW vs. BKN,W,240,116,46,83,55.4,7,16,43.8,17,21,81,6,30,36,27,9,7,10,24,12.8
CHI,11/10/2018,CHI vs. CLE,W,238,99,39,82,47.6,7,18,38.9,14,21,66.7,5,33,38,20,7,5,11,19,1
POR,11/11/2018,POR vs. BOS,W,240,100,39,86,45.3,14,36,38.9,8,10,80,15,40,55,22,4,2,21,14,6
BOS,11/11/2018,BOS @ POR,L,241,94,36,93,38.7,14,42,33.3,8,10,80,11,31,42,19,11,5,12,16,-6
CHA,11/11/2018,CHA @ DET,W,240,113,43,85,50.6,11,28,39.3,16,18,88.9,6,40,46,24,6,8,12,26,10
ATL,11/11/2018,ATL @ LAL,L,240,106,41,95,43.2,13,37,35.1,11,13,84.6,10,34,44,25,11,4,17,23,-1
MIL,11/11/2018,MIL @ DEN,W,239,121,48,84,57.1,17,34,50,8,13,61.5,5,36,41,27,10,7,12,17,7
DEN,11/11/2018,DEN vs. MIL,L,239,114,41,89,46.1,18,38,47.4,14,20,70,10,29,39,27,8,5,10,16,-7
HOU,11/11/2018,HOU vs. IND,W,241,115,36,74,48.6,20,47,42.6,23,32,71.9,8,30,38,18,6,5,15,22,12
ORL,11/11/2018,ORL @ NYK,W,240,115,44,98,44.9,17,42,40.5,10,11,90.9,10,42,52,31,10,9,11,21,26
LAL,11/11/2018,LAL vs. ATL,W,240,107,39,92,42.4,14,38,36.8,15,24,62.5,17,31,48,28,12,9,22,23,1
DET,11/11/2018,DET vs. CHA,L,238,103,38,104,36.5,12,44,27.3,15,19,78.9,22,29,51,21,5,4,10,18,-10
IND,11/11/2018,IND @ HOU,L,240,103,36,78,46.2,11,29,37.9,20,26,76.9,5,30,35,24,10,6,13,22,-12
NYK,11/11/2018,NYK vs. ORL,L,241,89,31,88,35.2,5,28,17.9,22,30,73.3,13,41,54,13,4,15,19,21,-26
UTA,11/12/2018,UTA @ MEM,W,240,96,32,82,39,9,32,28.1,23,30,76.7,13,36,49,19,7,6,15,25,8
GSW,11/12/2018,GSW @ LAC,L,265,116,44,94,46.8,12,31,38.7,16,23,69.6,11,35,46,27,7,8,17,25,-5
SAS,11/12/2018,SAS @ SAC,L,241,99,38,87,43.7,10,31,32.3,13,16,81.3,9,34,43,25,5,4,15,12,-5
CHI,11/12/2018,CHI vs. DAL,L,239,98,35,89,39.3,8,33,24.2,20,22,90.9,8,37,45,16,11,3,17,26,-5
LAC,11/12/2018,LAC vs. GSW,W,265,121,43,91,47.3,5,20,25,30,34,88.2,6,43,49,23,11,5,15,23,5
MIN,11/12/2018,MIN vs. BKN,W,240,120,42,80,52.5,10,23,43.5,26,31,83.9,9,43,52,26,8,6,23,17,7
BKN,11/12/2018,BKN @ MIN,L,240,113,40,101,39.6,18,50,36,15,22,68.2,19,23,42,28,10,2,13,29,-7
TOR,11/12/2018,TOR vs. NOP,L,241,110,39,97,40.2,13,45,28.9,19,22,86.4,13,30,43,22,9,5,10,20,-16
OKC,11/12/2018,OKC vs. PHX,W,241,118,43,92,46.7,13,27,48.1,19,20,95,12,30,42,23,12,6,13,15,17
SAC,11/12/2018,SAC vs. SAS,W,240,104,43,86,50,11,24,45.8,7,12,58.3,7,38,45,27,12,3,12,20,5
MIA,11/12/2018,MIA vs. PHI,L,239,114,37,77,48.1,13,31,41.9,27,33,81.8,8,32,40,19,5,6,15,30,-10
WAS,11/12/2018,WAS vs. ORL,W,239,117,40,79,50.6,13,33,39.4,24,33,72.7,7,34,41,24,8,7,10,17,8
NOP,11/12/2018,NOP @ TOR,W,240,126,54,99,54.5,10,27,37,8,13,61.5,14,40,54,30,2,4,13,20,16
MEM,11/12/2018,MEM vs. UTA,L,240,88,33,79,41.8,4,24,16.7,18,23,78.3,8,34,42,19,7,9,16,28,-8
PHI,11/12/2018,PHI @ MIA,W,239,124,39,83,47,15,36,41.7,31,39,79.5,10,32,42,24,5,0,9,24,10
PHX,11/12/2018,PHX @ OKC,L,240,101,39,81,48.1,7,26,26.9,16,19,84.2,10,27,37,25,5,5,18,21,-17
DAL,11/12/2018,DAL @ CHI,W,241,103,37,79,46.8,10,33,30.3,19,29,65.5,7,42,49,18,11,7,19,22,5
ORL,11/12/2018,ORL @ WAS,L,240,109,43,89,48.3,15,30,50,8,11,72.7,8,26,34,28,5,6,12,28,-8
ATL,11/13/2018,ATL @ GSW,L,241,103,40,89,44.9,12,32,37.5,11,15,73.3,10,32,42,25,9,2,14,18,-7
CHA,11/13/2018,CHA @ CLE,L,242,89,33,95,34.7,8,41,19.5,15,19,78.9,12,25,37,22,12,4,9,11,-24
GSW,11/13/2018,GSW vs. ATL,W,241,110,39,91,42.9,12,27,44.4,20,21,95.2,13,35,48,28,8,6,13,20,7
DEN,11/13/2018,DEN vs. HOU,L,240,99,38,76,50,11,25,44,12,16,75,7,24,31,27,11,2,16,20,-10
CLE,11/13/2018,CLE vs. CHA,W,241,113,45,85,52.9,13,24,54.2,10,12,83.3,14,46,60,23,5,3,19,20,24
HOU,11/13/2018,HOU @ DEN,W,240,109,39,71,54.9,13,37,35.1,18,26,69.2,6,26,32,23,7,6,14,20,10
OKC,11/14/2018,OKC vs. NYK,W,240,128,51,95,53.7,16,33,48.5,10,12,83.3,13,34,47,32,11,7,16,21,25
PHX,11/14/2018,PHX vs. SAS,W,240,116,47,84,56,15,31,48.4,7,8,87.5,5,33,38,27,9,4,16,23,20
MIN,11/14/2018,MIN vs. NOP,W,240,107,37,90,41.1,14,32,43.8,19,24,79.2,11,36,47,29,14,6,15,22,7
DAL,11/14/2018,DAL vs. UTA,W,241,118,45,77,58.4,12,28,42.9,16,24,66.7,7,44,51,24,12,6,19,19,50
DET,11/14/2018,DET @ TOR,W,241,106,44,91,48.4,10,33,30.3,8,13,61.5,7,32,39,24,8,5,17,24,2
CLE,11/14/2018,CLE @ WAS,L,240,95,35,77,45.5,4,21,19,21,31,67.7,9,33,42,22,12,6,23,24,-24
