TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
BKN,12/22/2020,BKN vs. GSW,W,242,125,26
GSW,12/22/2020,GSW @ BKN,L,240,99,-26
LAL,12/22/2020,LAL vs. LAC,L,240,109,-7
LAC,12/22/2020,LAC @ LAL,W,241,116,7
SAC,12/23/2020,SAC @ DEN,W,265,124,2
DEN,12/23/2020,DEN vs. SAC,L,265,122,-2
MIL,12/23/2020,MIL @ BOS,L,239,121,-1
BOS,12/23/2020,BOS vs. MIL,W,240,122,1
UTA,12/23/2020,UTA @ POR,W,241,120,20
POR,12/23/2020,POR vs. UTA,L,239,100,-20
NOP,12/23/2020,NOP @ TOR,W,241,113,14
TOR,12/23/2020,TOR vs. NOP,L,241,99,-14
MIA,12/23/2020,MIA @ ORL,L,241,107,-6
ORL,12/23/2020,ORL vs. MIA,W,241,113,6
CLE,12/23/2020,CLE vs. CHA,W,241,121,7
CHA,12/23/2020,CHA @ CLE,L,240,114,-7
SAS,12/23/2020,SAS @ MEM,W,240,131,12
MEM,12/23/2020,MEM vs. SAS,L,242,119,-12
IND,12/23/2020,IND vs. NYK,W,239,121,14
NYK,12/23/2020,NYK @ IND,L,239,107,-14
DET,12/23/2020,DET @ MIN,L,240,101,-10
MIN,12/23/2020,MIN vs. DET,W,241,111,10
WAS,12/23/2020,WAS @ PHI,L,241,107,-6
PHI,12/23/2020,PHI vs. WAS,W,239,113,6
DAL,12/23/2020,DAL @ PHX,L,241,102,-4
PHX,12/23/2020,PHX vs. DAL,W,241,106,4
CHI,12/23/2020,CHI vs. ATL,L,240,104,-20
ATL,12/23/2020,ATL @ CHI,W,239,124,20
DEN,12/25/2020,DEN vs. LAC,L,238,108,-13
LAC,12/25/2020,LAC @ DEN,W,239,121,13
BOS,12/25/2020,BOS vs. BKN,L,241,95,-28
BKN,12/25/2020,BKN @ BOS,W,241,123,28
GSW,12/25/2020,GSW @ MIL,L,241,99,-39
MIL,12/25/2020,MIL vs. GSW,W,241,138,39
LAL,12/25/2020,LAL vs. DAL,W,237,138,23
DAL,12/25/2020,DAL @ LAL,L,239,115,-23
NOP,12/25/2020,NOP @ MIA,L,238,98,-13
MIA,12/25/2020,MIA vs. NOP,W,237,111,13
SAS,12/26/2020,SAS vs. TOR,W,240,119,5
TOR,12/26/2020,TOR @ SAS,L,240,114,-5
ATL,12/26/2020,ATL @ MEM,W,239,122,10
MEM,12/26/2020,MEM vs. ATL,L,240,112,-10
SAC,12/26/2020,SAC vs. PHX,W,240,106,3
PHX,12/26/2020,PHX @ SAC,L,240,103,-3
PHI,12/26/2020,PHI @ NYK,W,241,109,20
NYK,12/26/2020,NYK vs. PHI,L,240,89,-20
MIN,12/26/2020,MIN @ UTA,W,241,116,5
UTA,12/26/2020,UTA vs. MIN,L,240,111,-5
CHI,12/26/2020,CHI vs. IND,L,240,106,-19
IND,12/26/2020,IND @ CHI,W,239,125,19
HOU,12/26/2020,HOU @ POR,L,266,126,-2
POR,12/26/2020,POR vs. HOU,W,264,128,2
CLE,12/26/2020,CLE @ DET,W,291,128,9
DET,12/26/2020,DET vs. CLE,L,291,119,-9
CHA,12/26/2020,CHA vs. OKC,L,239,107,-2
OKC,12/26/2020,OKC @ CHA,W,240,109,2
ORL,12/26/2020,ORL @ WAS,W,240,130,10
WAS,12/26/2020,WAS vs. ORL,L,240,120,-10
DAL,12/27/2020,DAL @ LAC,W,241,124,51
LAC,12/27/2020,LAC vs. DAL,L,241,73,-51
MIL,12/27/2020,MIL @ NYK,L,241,110,-20
NYK,12/27/2020,NYK vs. MIL,W,239,130,20
LAL,12/27/2020,LAL vs. MIN,W,242,127,36
MIN,12/27/2020,MIN @ LAL,L,240,91,-36
BKN,12/27/2020,BKN @ CHA,L,239,104,-2
CHA,12/27/2020,CHA vs. BKN,W,241,106,2
GSW,12/27/2020,GSW @ CHI,W,239,129,1
CHI,12/27/2020,CHI vs. GSW,L,239,128,-1
PHX,12/27/2020,PHX @ SAC,W,239,116,16
SAC,12/27/2020,SAC vs. PHX,L,241,100,-16
NOP,12/27/2020,NOP vs. SAS,W,239,98,3
SAS,12/27/2020,SAS @ NOP,L,239,95,-3
CLE,12/27/2020,CLE vs. PHI,W,240,118,24
PHI,12/27/2020,PHI @ CLE,L,238,94,-24
IND,12/27/2020,IND vs. BOS,W,240,108,1
BOS,12/27/2020,BOS @ IND,L,241,107,-1
ORL,12/27/2020,ORL @ WAS,W,240,120,7
WAS,12/27/2020,WAS vs. ORL,L,239,113,-7
POR,12/28/2020,POR @ LAL,W,241,115,8
LAL,12/28/2020,LAL vs. POR,L,240,107,-8
HOU,12/28/2020,HOU @ DEN,L,240,111,-13
DEN,12/28/2020,DEN vs. HOU,W,242,124,13
DET,12/28/2020,DET @ ATL,L,240,120,-8
ATL,12/28/2020,ATL vs. DET,W,240,128,8
OKC,12/28/2020,OKC vs. UTA,L,239,109,-1
UTA,12/28/2020,UTA @ OKC,W,240,110,1
BKN,12/28/2020,BKN vs. MEM,L,266,111,-5
MEM,12/28/2020,MEM @ BKN,W,266,116,5
WAS,12/29/2020,WAS vs. CHI,L,240,107,-8
CHI,12/29/2020,CHI @ WAS,W,239,115,8
TOR,12/29/2020,TOR @ PHI,L,241,93,-7
PHI,12/29/2020,PHI vs. TOR,W,241,100,7
BOS,12/29/2020,BOS @ IND,W,239,116,5
IND,12/29/2020,IND vs. BOS,L,241,111,-5
GSW,12/29/2020,GSW @ DET,W,241,116,10
DET,12/29/2020,DET vs. GSW,L,239,106,-10
NYK,12/29/2020,NYK @ CLE,W,240,95,9
MIN,12/29/2020,MIN @ LAC,L,240,101,-23
LAC,12/29/2020,LAC vs. MIN,W,241,124,23
MIL,12/29/2020,MIL @ MIA,W,239,144,47
MIA,12/29/2020,MIA vs. MIL,L,240,97,-47
NOP,12/29/2020,NOP @ PHX,L,241,86,-25
PHX,12/29/2020,PHX vs. NOP,W,239,111,25
SAC,12/29/2020,SAC vs. DEN,W,240,125,10
DEN,12/29/2020,DEN @ SAC,L,240,115,-10
OKC,12/29/2020,OKC vs. ORL,L,240,107,-11
ORL,12/29/2020,ORL @ OKC,W,240,118,11
CLE,12/29/2020,CLE vs. NYK,L,240,86,-9
SAS,12/30/2020,SAS vs. LAL,L,239,107,-14
LAL,12/30/2020,LAL @ SAS,W,239,121,14
POR,12/30/2020,POR @ LAC,L,239,105,-23
LAC,12/30/2020,LAC vs. POR,W,239,128,23
BKN,12/30/2020,BKN vs. ATL,W,239,145,4
ATL,12/30/2020,ATL @ BKN,L,240,141,-4
MEM,12/30/2020,MEM @ BOS,L,241,107,-19
BOS,12/30/2020,BOS vs. MEM,W,239,126,19
MIA,12/30/2020,MIA vs. MIL,W,240,119,11
MIL,12/30/2020,MIL @ MIA,L,240,108,-11
CHA,12/30/2020,CHA @ DAL,W,240,118,19
DAL,12/30/2020,DAL vs. CHA,L,241,99,-19
TOR,12/31/2020,TOR vs. NYK,W,241,100,17
NYK,12/31/2020,NYK @ TOR,L,239,83,-17
HOU,12/31/2020,HOU vs. SAC,W,240,122,3
SAC,12/31/2020,SAC @ HOU,L,241,119,-3
CHI,12/31/2020,CHI @ WAS,W,239,133,3
WAS,12/31/2020,WAS vs. CHI,L,239,130,-3
NOP,12/31/2020,NOP @ OKC,W,238,113,33
OKC,12/31/2020,OKC vs. NOP,L,239,80,-33
UTA,12/31/2020,UTA vs. PHX,L,240,95,-11
PHX,12/31/2020,PHX @ UTA,W,240,106,11
IND,12/31/2020,IND vs. CLE,W,239,119,20
CLE,12/31/2020,CLE @ IND,L,239,99,-20
PHI,12/31/2020,PHI @ ORL,W,241,116,24
ORL,12/31/2020,ORL vs. PHI,L,241,92,-24
LAL,01/01/2021,LAL @ SAS,W,239,109,6
SAS,01/01/2021,SAS vs. LAL,L,241,103,-6
CHI,01/01/2021,CHI @ MIL,L,241,96,-30
MIL,01/01/2021,MIL vs. CHI,W,240,126,30
DEN,01/01/2021,DEN vs. PHX,L,242,103,-3
PHX,01/01/2021,PHX @ DEN,W,240,106,3
DET,01/01/2021,DET vs. BOS,W,239,96,3
BOS,01/01/2021,BOS @ DET,L,239,93,-3
UTA,01/01/2021,UTA vs. LAC,W,241,106,6
LAC,01/01/2021,LAC @ UTA,L,241,100,-6
POR,01/01/2021,POR @ GSW,W,240,123,25
GSW,01/01/2021,GSW vs. POR,L,239,98,-25
BKN,01/01/2021,BKN vs. ATL,L,240,96,-18
ATL,01/01/2021,ATL @ BKN,W,240,114,18
MIA,01/01/2021,MIA @ DAL,L,240,83,-10
DAL,01/01/2021,DAL vs. MIA,W,240,93,10
WAS,01/01/2021,WAS @ MIN,W,240,130,21
MIN,01/01/2021,MIN vs. WAS,L,238,109,-21
MEM,01/01/2021,MEM @ CHA,W,240,108,15
CHA,01/01/2021,CHA vs. MEM,L,241,93,-15
NYK,01/02/2021,NYK @ IND,W,239,106,4
PHI,01/02/2021,PHI vs. CHA,W,240,127,15
CHA,01/02/2021,CHA @ PHI,L,242,112,-15
OKC,01/02/2021,OKC @ ORL,W,240,108,9
ORL,01/02/2021,ORL vs. OKC,L,240,99,-9
IND,01/02/2021,IND vs. NYK,L,239,102,-4
TOR,01/02/2021,TOR @ NOP,L,240,116,-4
NOP,01/02/2021,NOP vs. TOR,W,240,120,4
HOU,01/02/2021,HOU vs. SAC,W,239,102,8
SAC,01/02/2021,SAC @ HOU,L,240,94,-8
ATL,01/02/2021,ATL vs. CLE,L,240,91,-5
CLE,01/02/2021,CLE @ ATL,W,240,96,5
POR,01/03/2021,POR @ GSW,L,239,122,-15
PHX,01/03/2021,PHX vs. LAC,L,240,107,-5
LAC,01/03/2021,LAC @ PHX,W,241,112,5
DET,01/03/2021,DET vs. BOS,L,239,120,-2
BOS,01/03/2021,BOS @ DET,W,241,122,2
GSW,01/03/2021,GSW vs. POR,W,239,137,15
BKN,01/03/2021,BKN vs. WAS,L,241,122,-1
LAL,01/03/2021,LAL @ MEM,W,239,108,14
MEM,01/03/2021,MEM vs. LAL,L,240,94,-14
UTA,01/03/2021,UTA @ SAS,W,241,130,21
SAS,01/03/2021,SAS vs. UTA,L,240,109,-21
WAS,01/03/2021,WAS @ BKN,W,239,123,1
MIN,01/03/2021,MIN vs. DEN,L,240,109,-15
DEN,01/03/2021,DEN @ MIN,W,241,124,15
CHI,01/03/2021,CHI vs. DAL,W,240,118,10
DAL,01/03/2021,DAL @ CHI,L,240,108,-10
TOR,01/04/2021,TOR vs. BOS,L,240,114,-12
OKC,01/04/2021,OKC @ MIA,L,240,90,-28
MIA,01/04/2021,MIA vs. OKC,W,241,118,28
MIL,01/04/2021,MIL vs. DET,W,241,125,10
DET,01/04/2021,DET @ MIL,L,240,115,-10
HOU,01/04/2021,HOU vs. DAL,L,240,100,-13
DAL,01/04/2021,DAL @ HOU,W,241,113,13
GSW,01/04/2021,GSW vs. SAC,W,240,137,31
SAC,01/04/2021,SAC @ GSW,L,242,106,-31
NYK,01/04/2021,NYK @ ATL,W,240,113,5
ATL,01/04/2021,ATL vs. NYK,L,240,108,-5
CLE,01/04/2021,CLE @ ORL,L,241,83,-20
ORL,01/04/2021,ORL vs. CLE,W,239,103,20
BOS,01/04/2021,BOS @ TOR,W,240,126,12
NOP,01/04/2021,NOP vs. IND,L,265,116,-2
IND,01/04/2021,IND @ NOP,W,267,118,2
PHI,01/04/2021,PHI vs. CHA,W,242,118,17
CHA,01/04/2021,CHA @ PHI,L,239,101,-17
MIN,01/05/2021,MIN @ DEN,L,239,116,-7
DEN,01/05/2021,DEN vs. MIN,W,241,123,7
CHI,01/05/2021,CHI @ POR,W,240,111,3
POR,01/05/2021,POR vs. CHI,L,241,108,1
LAL,01/05/2021,LAL @ MEM,W,239,94,2
MEM,01/05/2021,MEM vs. LAL,L,242,92,-2
LAC,01/05/2021,LAC vs. SAS,L,241,113,-3
UTA,01/05/2021,UTA @ BKN,L,241,96,-34
BKN,01/05/2021,BKN vs. UTA,W,239,130,34
SAS,01/05/2021,SAS @ LAC,W,241,116,3
NYK,01/06/2021,NYK vs. UTA,W,240,112,12
UTA,01/06/2021,UTA @ NYK,L,240,100,-12
ATL,01/06/2021,ATL vs. CHA,L,239,94,-8
CHA,01/06/2021,CHA @ ATL,W,240,102,8
HOU,01/06/2021,HOU @ IND,L,240,107,-7
IND,01/06/2021,IND vs. HOU,W,240,114,7
MIA,01/06/2021,MIA vs. BOS,L,240,105,-2
BOS,01/06/2021,BOS @ MIA,W,241,107,2
ORL,01/06/2021,ORL vs. CLE,W,240,105,11
CLE,01/06/2021,CLE @ ORL,L,241,94,-11
NOP,01/06/2021,NOP vs. OKC,L,240,110,-1
OKC,01/06/2021,OKC @ NOP,W,241,111,1
CHI,01/06/2021,CHI @ SAC,L,240,124,-4
SAC,01/06/2021,SAC vs. CHI,W,239,128,4
PHX,01/06/2021,PHX vs. TOR,W,240,123,8
TOR,01/06/2021,TOR @ PHX,L,240,115,-8
DET,01/06/2021,DET @ MIL,L,240,115,-15
MIL,01/06/2021,MIL vs. DET,W,239,130,15
WAS,01/06/2021,WAS @ PHI,L,240,136,-5
PHI,01/06/2021,PHI vs. WAS,W,240,141,5
LAC,01/06/2021,LAC @ GSW,W,241,108,7
GSW,01/06/2021,GSW vs. LAC,L,239,101,-7
CLE,01/07/2021,CLE @ MEM,W,239,94,4
MEM,01/07/2021,MEM vs. CLE,L,240,90,-4
MIN,01/07/2021,MIN @ POR,L,242,117,-18
POR,01/07/2021,POR vs. MIN,W,240,135,18
PHI,01/07/2021,PHI @ BKN,L,239,109,-13
BKN,01/07/2021,BKN vs. PHI,W,239,122,13
SAS,01/07/2021,SAS @ LAL,W,240,118,9
LAL,01/07/2021,LAL vs. SAS,L,240,109,-9
DEN,01/07/2021,DEN vs. DAL,L,265,117,-7
DAL,01/07/2021,DAL @ DEN,W,265,124,7
BOS,01/08/2021,BOS vs. WAS,W,240,116,9
WAS,01/08/2021,WAS @ BOS,L,239,107,-9
NYK,01/08/2021,NYK vs. OKC,L,239,89,-12
OKC,01/08/2021,OKC @ NYK,W,238,101,12
TOR,01/08/2021,TOR @ SAC,W,239,144,21
SAC,01/08/2021,SAC vs. TOR,L,241,123,-21
CHI,01/08/2021,CHI @ LAL,L,240,115,-2
LAL,01/08/2021,LAL vs. CHI,W,240,117,2
CHA,01/08/2021,CHA @ NOP,W,241,118,8
NOP,01/08/2021,NOP vs. CHA,L,240,110,-8
GSW,01/08/2021,GSW vs. LAC,W,240,115,10
LAC,01/08/2021,LAC @ GSW,L,240,105,-10
HOU,01/08/2021,HOU vs. ORL,W,241,132,42
ORL,01/08/2021,ORL @ HOU,L,240,90,-42
BKN,01/08/2021,BKN @ MEM,L,240,110,-5
MEM,01/08/2021,MEM vs. BKN,W,241,115,5
PHX,01/08/2021,PHX @ DET,L,265,105,-5
DET,01/08/2021,DET vs. PHX,W,265,110,5
MIL,01/08/2021,MIL vs. UTA,L,240,118,-13
UTA,01/08/2021,UTA @ MIL,W,238,131,13
CLE,01/09/2021,CLE @ MIL,L,241,90,-10
MIL,01/09/2021,MIL vs. CLE,W,239,100,10
ATL,01/09/2021,ATL @ CHA,L,241,105,-8
CHA,01/09/2021,CHA vs. ATL,W,238,113,8
SAS,01/09/2021,SAS @ MIN,W,266,125,3
MIN,01/09/2021,MIN vs. SAS,L,266,122,-3
POR,01/09/2021,POR @ SAC,W,243,125,26
SAC,01/09/2021,SAC vs. POR,L,241,99,-26
IND,01/09/2021,IND vs. PHX,L,239,117,-8
PHX,01/09/2021,PHX @ IND,W,239,125,8
MIA,01/09/2021,MIA @ WAS,W,242,128,4
WAS,01/09/2021,WAS vs. MIA,L,240,124,-4
DAL,01/09/2021,DAL vs. ORL,W,239,112,14
ORL,01/09/2021,ORL @ DAL,L,241,98,-14
DEN,01/09/2021,DEN @ PHI,W,239,115,12
PHI,01/09/2021,PHI vs. DEN,L,240,103,-12
OKC,01/10/2021,OKC @ BKN,W,240,129,13
BKN,01/10/2021,BKN vs. OKC,L,241,116,-13
SAS,01/10/2021,SAS @ MIN,L,240,88,-8
MIN,01/10/2021,MIN vs. SAS,W,239,96,8
DET,01/10/2021,DET vs. UTA,L,239,86,-10
UTA,01/10/2021,UTA @ DET,W,240,96,10
GSW,01/10/2021,GSW vs. TOR,W,240,106,1
TOR,01/10/2021,TOR @ GSW,L,239,105,-1
NYK,01/10/2021,NYK vs. DEN,L,239,89,-25
DEN,01/10/2021,DEN @ NYK,W,241,114,25
HOU,01/10/2021,HOU vs. LAL,L,240,102,-18
LAL,01/10/2021,LAL @ HOU,W,241,120,18
CHI,01/10/2021,CHI @ LAC,L,240,127,-3
LAC,01/10/2021,LAC vs. CHI,W,240,130,3
PHI,01/11/2021,PHI @ ATL,L,241,94,-18
ATL,01/11/2021,ATL vs. PHI,W,240,112,18
WAS,01/11/2021,WAS vs. PHX,W,239,128,21
PHX,01/11/2021,PHX @ WAS,L,239,107,-21
CLE,01/11/2021,CLE vs. MEM,L,241,91,-10
MEM,01/11/2021,MEM @ CLE,W,241,101,10
SAC,01/11/2021,SAC vs. IND,W,241,127,5
IND,01/11/2021,IND @ SAC,L,239,122,-5
CHA,01/11/2021,CHA vs. NYK,W,239,109,21
NYK,01/11/2021,NYK @ CHA,L,240,88,-21
MIL,01/11/2021,MIL @ ORL,W,241,121,22
ORL,01/11/2021,ORL vs. MIL,L,239,99,-22
POR,01/11/2021,POR vs. TOR,W,241,112,1
TOR,01/11/2021,TOR @ POR,L,241,111,-1
UTA,01/12/2021,UTA @ CLE,W,241,117,30
CLE,01/12/2021,CLE vs. UTA,L,241,87,-30
IND,01/12/2021,IND @ GSW,W,241,104,9
GSW,01/12/2021,GSW vs. IND,L,240,95,-9
HOU,01/12/2021,HOU vs. LAL,L,240,100,-17
LAL,01/12/2021,LAL @ HOU,W,240,117,17
BKN,01/12/2021,BKN vs. DEN,W,242,122,6
DEN,01/12/2021,DEN @ BKN,L,240,116,-6
OKC,01/12/2021,OKC vs. SAS,L,240,102,-10
SAS,01/12/2021,SAS @ OKC,W,240,112,10
MIA,01/12/2021,MIA @ PHI,L,265,134,-3
PHI,01/12/2021,PHI vs. MIA,W,265,137,3
LAL,01/13/2021,LAL @ OKC,W,239,128,29
OKC,01/13/2021,OKC vs. LAL,L,241,99,-29
NYK,01/13/2021,NYK vs. BKN,L,240,109,-7
BKN,01/13/2021,BKN @ NYK,W,240,116,7
DET,01/13/2021,DET vs. MIL,L,240,101,-9
MIL,01/13/2021,MIL @ DET,W,241,110,9
SAC,01/13/2021,SAC vs. POR,L,239,126,-6
POR,01/13/2021,POR @ SAC,W,239,132,6
CHA,01/13/2021,CHA vs. DAL,L,239,93,-11
DAL,01/13/2021,DAL @ CHA,W,239,104,11
NOP,01/13/2021,NOP @ LAC,L,239,106,-5
LAC,01/13/2021,LAC vs. NOP,W,241,111,5
MIN,01/13/2021,MIN vs. MEM,L,240,107,-11
MEM,01/13/2021,MEM @ MIN,W,242,118,11
GSW,01/14/2021,GSW @ DEN,L,240,104,-10
DEN,01/14/2021,DEN vs. GSW,W,240,114,10
SAS,01/14/2021,SAS vs. HOU,L,238,105,-4
HOU,01/14/2021,HOU @ SAS,W,240,109,4
MIA,01/14/2021,MIA @ PHI,L,241,108,-17
PHI,01/14/2021,PHI vs. MIA,W,239,125,17
IND,01/14/2021,IND @ POR,W,238,111,24
POR,01/14/2021,POR vs. IND,L,240,87,-24
TOR,01/14/2021,TOR vs. CHA,W,242,111,3
CHA,01/14/2021,CHA @ TOR,L,240,108,-3
MIL,01/15/2021,MIL vs. DAL,W,239,112,3
DAL,01/15/2021,DAL @ MIL,L,240,109,-3
CHI,01/15/2021,CHI @ OKC,L,264,125,-2
OKC,01/15/2021,OKC vs. CHI,W,266,127,2
NYK,01/15/2021,NYK @ CLE,L,240,103,-3
CLE,01/15/2021,CLE vs. NYK,W,242,106,3
UTA,01/15/2021,UTA vs. ATL,W,240,116,24
ATL,01/15/2021,ATL @ UTA,L,240,92,-24
LAC,01/15/2021,LAC @ SAC,W,241,138,38
SAC,01/15/2021,SAC vs. LAC,L,240,100,-38
LAL,01/15/2021,LAL vs. NOP,W,239,112,17
NOP,01/15/2021,NOP @ LAL,L,241,95,-17
BOS,01/15/2021,BOS vs. ORL,W,239,124,27
ORL,01/15/2021,ORL @ BOS,L,241,97,-27
CHA,01/16/2021,CHA @ TOR,L,240,113,-3
TOR,01/16/2021,TOR vs. CHA,W,240,116,3
HOU,01/16/2021,HOU @ SAS,L,240,91,-12
SAS,01/16/2021,SAS vs. HOU,W,241,103,12
DET,01/16/2021,DET @ MIA,W,241,120,20
MIA,01/16/2021,MIA vs. DET,L,239,100,-20
ATL,01/16/2021,ATL @ POR,L,241,106,-6
POR,01/16/2021,POR vs. ATL,W,241,112,6
BKN,01/16/2021,BKN vs. ORL,W,241,122,7
ORL,01/16/2021,ORL @ BKN,L,241,115,-7
PHI,01/16/2021,PHI @ MEM,L,242,104,-2
MEM,01/16/2021,MEM vs. PHI,W,240,106,2
IND,01/17/2021,IND @ LAC,L,240,96,-33
LAC,01/17/2021,LAC vs. IND,W,240,129,33
CHI,01/17/2021,CHI @ DAL,W,240,117,16
DAL,01/17/2021,DAL vs. CHI,L,239,101,-16
DEN,01/17/2021,DEN vs. UTA,L,241,105,-4
UTA,01/17/2021,UTA @ DEN,W,241,109,4
BOS,01/17/2021,BOS vs. NYK,L,239,75,-30
NYK,01/17/2021,NYK @ BOS,W,239,105,30
NOP,01/17/2021,NOP @ SAC,W,239,128,5
SAC,01/17/2021,SAC vs. NOP,L,239,123,-5
BKN,01/18/2021,BKN vs. MIL,W,241,125,2
MIL,01/18/2021,MIL @ BKN,L,240,123,-2
POR,01/18/2021,POR vs. SAS,L,240,104,-21
SAS,01/18/2021,SAS @ POR,W,241,125,21
DAL,01/18/2021,DAL @ TOR,L,239,93,-23
TOR,01/18/2021,TOR vs. DAL,W,240,116,23
PHX,01/18/2021,PHX @ MEM,L,240,104,-4
MEM,01/18/2021,MEM vs. PHX,W,240,108,4
MIN,01/18/2021,MIN @ ATL,L,239,97,-11
ATL,01/18/2021,ATL vs. MIN,W,241,108,11
NYK,01/18/2021,NYK vs. ORL,W,240,91,7
ORL,01/18/2021,ORL @ NYK,L,240,84,-7
CHI,01/18/2021,CHI vs. HOU,W,240,125,5
HOU,01/18/2021,HOU @ CHI,L,240,120,-5
MIA,01/18/2021,MIA vs. DET,W,240,113,6
DET,01/18/2021,DET @ MIA,L,241,107,-6
GSW,01/18/2021,GSW @ LAL,W,240,115,2
LAL,01/18/2021,LAL vs. GSW,L,241,113,-2
OKC,01/19/2021,OKC @ DEN,L,241,101,-18
DEN,01/19/2021,DEN vs. OKC,W,241,119,18
NOP,01/19/2021,NOP @ UTA,L,240,102,-16
UTA,01/19/2021,UTA vs. NOP,W,240,118,16
SAS,01/20/2021,SAS @ GSW,L,242,99,-22
GSW,01/20/2021,GSW vs. SAS,W,241,121,22
DAL,01/20/2021,DAL @ IND,W,240,124,12
IND,01/20/2021,IND vs. DAL,L,241,112,-12
PHI,01/20/2021,PHI vs. BOS,W,241,117,8
BOS,01/20/2021,BOS @ PHI,L,240,109,-8
ATL,01/20/2021,ATL vs. DET,W,264,123,8
DET,01/20/2021,DET @ ATL,L,264,115,-8
MIA,01/20/2021,MIA @ TOR,W,240,111,9
TOR,01/20/2021,TOR vs. MIA,L,240,102,-9
LAC,01/20/2021,LAC vs. SAC,W,239,115,19
SAC,01/20/2021,SAC @ LAC,L,240,96,-19
PHX,01/20/2021,PHX @ HOU,W,240,109,6
HOU,01/20/2021,HOU vs. PHX,L,239,103,-6
BKN,01/20/2021,BKN @ CLE,L,290,135,-12
CLE,01/20/2021,CLE vs. BKN,W,290,147,12
MIN,01/20/2021,MIN vs. ORL,L,241,96,-1
ORL,01/20/2021,ORL @ MIN,W,241,97,1
UTA,01/21/2021,UTA vs. NOP,W,240,129,11
NOP,01/21/2021,NOP @ UTA,L,240,118,-11
NYK,01/21/2021,NYK @ GSW,W,239,119,15
GSW,01/21/2021,GSW vs. NYK,L,241,104,-15
MIL,01/21/2021,MIL vs. LAL,L,240,106,-7
LAL,01/21/2021,LAL @ MIL,W,240,113,7
BOS,01/22/2021,BOS @ PHI,L,239,110,-12
PHI,01/22/2021,PHI vs. BOS,W,240,122,12
DEN,01/22/2021,DEN @ PHX,W,264,130,4
PHX,01/22/2021,PHX vs. DEN,L,266,126,-4
CLE,01/22/2021,CLE vs. BKN,W,239,125,12
BKN,01/22/2021,BKN @ CLE,L,240,113,-12
SAC,01/22/2021,SAC vs. NYK,W,240,103,9
NYK,01/22/2021,NYK @ SAC,L,240,94,-9
SAS,01/22/2021,SAS vs. DAL,L,240,117,-5
DAL,01/22/2021,DAL @ SAS,W,239,122,5
MIA,01/22/2021,MIA @ TOR,L,240,81,-20
TOR,01/22/2021,TOR vs. MIA,W,241,101,20
HOU,01/22/2021,HOU @ DET,W,239,103,1
DET,01/22/2021,DET vs. HOU,L,241,102,-1
LAC,01/22/2021,LAC vs. OKC,W,241,120,14
OKC,01/22/2021,OKC @ LAC,L,240,106,-14
CHA,01/22/2021,CHA vs. CHI,L,241,110,-13
CHI,01/22/2021,CHI @ CHA,W,241,123,13
IND,01/22/2021,IND vs. ORL,W,264,120,2
ORL,01/22/2021,ORL @ IND,L,265,118,-2
MIN,01/22/2021,MIN vs. ATL,L,242,98,-18
ATL,01/22/2021,ATL @ MIN,W,240,116,18
DET,01/23/2021,DET vs. PHI,L,238,110,-4
PHI,01/23/2021,PHI @ DET,W,241,114,4
BKN,01/23/2021,BKN vs. MIA,W,240,128,4
MIA,01/23/2021,MIA @ BKN,L,241,124,-4
HOU,01/23/2021,HOU @ DAL,W,240,133,25
DAL,01/23/2021,DAL vs. HOU,L,239,108,-25
UTA,01/23/2021,UTA vs. GSW,W,240,127,19
GSW,01/23/2021,GSW @ UTA,L,241,108,-19
MIN,01/23/2021,MIN vs. NOP,W,238,120,10
NOP,01/23/2021,NOP @ MIN,L,240,110,-10
CHI,01/23/2021,CHI vs. LAL,L,240,90,-11
LAL,01/23/2021,LAL @ CHI,W,241,101,11
PHX,01/23/2021,PHX vs. DEN,L,290,112,-8
DEN,01/23/2021,DEN @ PHX,W,291,120,8
BOS,01/24/2021,BOS vs. CLE,W,239,141,38
CLE,01/24/2021,CLE @ BOS,L,241,103,-38
LAC,01/24/2021,LAC vs. OKC,W,238,108,8
OKC,01/24/2021,OKC @ LAC,L,241,100,-8
TOR,01/24/2021,TOR @ IND,W,240,107,5
IND,01/24/2021,IND vs. TOR,L,240,102,-5
NYK,01/24/2021,NYK @ POR,L,241,113,-3
POR,01/24/2021,POR vs. NYK,W,240,116,3
ORL,01/24/2021,ORL vs. CHA,L,240,104,-3
CHA,01/24/2021,CHA @ ORL,W,241,107,3
ATL,01/24/2021,ATL @ MIL,L,240,115,-14
MIL,01/24/2021,MIL vs. ATL,W,240,129,14
SAS,01/24/2021,SAS vs. WAS,W,239,121,20
WAS,01/24/2021,WAS @ SAS,L,240,101,-20
BOS,01/25/2021,BOS @ CHI,W,239,119,16
CHI,01/25/2021,CHI vs. BOS,L,240,103,-16
MIN,01/25/2021,MIN @ GSW,L,241,108,-22
GSW,01/25/2021,GSW vs. MIN,W,240,130,22
MIA,01/25/2021,MIA @ BKN,L,241,85,-13
BKN,01/25/2021,BKN vs. MIA,W,240,98,13
CHA,01/25/2021,CHA @ ORL,L,240,108,-9
ORL,01/25/2021,ORL vs. CHA,W,240,117,9
TOR,01/25/2021,TOR @ IND,L,241,114,-15
IND,01/25/2021,IND vs. TOR,W,240,129,15
LAL,01/25/2021,LAL @ CLE,W,241,115,7
CLE,01/25/2021,CLE vs. LAL,L,241,108,-7
