PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Jayson Tatum,BOS,06/02/2022,BOS @ GSW,W,42,12,16
Robert Williams III,BOS,06/02/2022,BOS @ GSW,W,24,8,-1
Jordan Poole,GSW,06/02/2022,GSW vs. BOS,L,25,9,-19
Payton Pritchard,BOS,06/02/2022,BOS @ GSW,W,16,8,14
Juwan Morgan,BOS,06/02/2022,BOS @ GSW,W,1,0,-3
Sam Hauser,BOS,06/02/2022,BOS @ GSW,W,1,0,-3
Al Horford,BOS,06/02/2022,BOS @ GSW,W,33,26,9
Marcus Smart,BOS,06/02/2022,BOS @ GSW,W,30,18,-1
Derrick White,BOS,06/02/2022,BOS @ GSW,W,32,21,25
Aaron Nesmith,BOS,06/02/2022,BOS @ GSW,W,1,0,-3
Otto Porter Jr.,GSW,06/02/2022,GSW vs. BOS,L,24,12,-18
Kevon Looney,GSW,06/02/2022,GSW vs. BOS,L,25,4,-2
Jaylen Brown,BOS,06/02/2022,BOS @ GSW,W,38,24,22
Kyle Lowry,MIA,05/29/2022,MIA vs. BOS,L,39,15,-2
P.J. Tucker,MIA,05/29/2022,MIA vs. BOS,L,17,0,-16
Al Horford,BOS,05/29/2022,BOS @ MIA,W,44,5,10
Jaylen Brown,BOS,05/29/2022,BOS @ MIA,W,44,24,8
Derrick White,BOS,05/29/2022,BOS @ MIA,W,19,8,-8
Max Strus,MIA,05/29/2022,MIA vs. BOS,L,35,8,4
Tyler Herro,MIA,05/29/2022,MIA vs. BOS,L,7,0,0
Payton Pritchard,BOS,05/29/2022,BOS @ MIA,W,2,0,-3
Jimmy Butler,MIA,05/29/2022,MIA vs. BOS,L,48,35,-4
Victor Oladipo,MIA,05/29/2022,MIA vs. BOS,L,33,9,16
Marcus Smart,BOS,05/29/2022,BOS @ MIA,W,41,24,2
Jayson Tatum,BOS,05/29/2022,BOS @ MIA,W,46,26,7
Bam Adebayo,MIA,05/29/2022,MIA vs. BOS,L,46,25,-8
Robert Williams III,BOS,05/29/2022,BOS @ MIA,W,15,2,5
Gabe Vincent,MIA,05/29/2022,MIA vs. BOS,L,15,4,-10
Grant Williams,BOS,05/29/2022,BOS @ MIA,W,30,11,-1
Marcus Smart,BOS,05/27/2022,BOS vs. MIA,L,40,14,-12
Bam Adebayo,MIA,05/27/2022,MIA @ BOS,W,41,6,12
Caleb Martin,MIA,05/27/2022,MIA @ BOS,W,12,5,-9
Duncan Robinson,MIA,05/27/2022,MIA @ BOS,W,5,0,-6
Gabe Vincent,MIA,05/27/2022,MIA @ BOS,W,17,2,3
Aaron Nesmith,BOS,05/27/2022,BOS vs. MIA,L,0,0,0
Payton Pritchard,BOS,05/27/2022,BOS vs. MIA,L,4,0,-1
Kyle Lowry,MIA,05/27/2022,MIA @ BOS,W,37,18,2
P.J. Tucker,MIA,05/27/2022,MIA @ BOS,W,25,11,9
Al Horford,BOS,05/27/2022,BOS vs. MIA,L,33,3,-14
Jimmy Butler,MIA,05/27/2022,MIA @ BOS,W,46,47,8
Victor Oladipo,MIA,05/27/2022,MIA @ BOS,W,22,9,12
Jayson Tatum,BOS,05/27/2022,BOS vs. MIA,L,45,30,-6
Derrick White,BOS,05/27/2022,BOS vs. MIA,L,33,22,5
Max Strus,MIA,05/27/2022,MIA @ BOS,W,34,13,9
Grant Williams,BOS,05/27/2022,BOS vs. MIA,L,17,2,4
Jaylen Brown,BOS,05/27/2022,BOS vs. MIA,L,41,20,-9
Robert Williams III,BOS,05/27/2022,BOS vs. MIA,L,26,12,-7
Davis Bertans,DAL,05/26/2022,DAL @ GSW,L,4,3,-5
Reggie Bullock,DAL,05/26/2022,DAL @ GSW,L,38,6,-8
Trey Burke,DAL,05/26/2022,DAL @ GSW,L,2,6,6
Dwight Powell,DAL,05/26/2022,DAL @ GSW,L,7,3,-8
Kevon Looney,GSW,05/26/2022,GSW vs. DAL,W,31,10,11
Damion Lee,GSW,05/26/2022,GSW vs. DAL,W,2,0,-3
Maxi Kleber,DAL,05/26/2022,DAL @ GSW,L,27,7,2
Juan Toscano-Anderson,GSW,05/26/2022,GSW vs. DAL,W,2,0,-6
Josh Green,DAL,05/26/2022,DAL @ GSW,L,2,0,6
Jonathan Kuminga,GSW,05/26/2022,GSW vs. DAL,W,2,0,-3
Moses Moody,GSW,05/26/2022,GSW vs. DAL,W,11,7,4
Nemanja Bjelica,GSW,05/26/2022,GSW vs. DAL,W,22,5,4
Klay Thompson,GSW,05/26/2022,GSW vs. DAL,W,37,32,18
Draymond Green,GSW,05/26/2022,GSW vs. DAL,W,31,17,11
Spencer Dinwiddie,DAL,05/26/2022,DAL @ GSW,L,32,26,-2
Andrew Wiggins,GSW,05/26/2022,GSW vs. DAL,W,40,18,9
Dorian Finney-Smith,DAL,05/26/2022,DAL @ GSW,L,39,13,-14
Frank Ntilikina,DAL,05/26/2022,DAL @ GSW,L,14,6,-3
Jalen Brunson,DAL,05/26/2022,DAL @ GSW,L,30,10,-24
Luka Doncic,DAL,05/26/2022,DAL @ GSW,L,40,28,-12
Sterling Brown,DAL,05/26/2022,DAL @ GSW,L,2,2,6
Marquese Chriss,DAL,05/26/2022,DAL @ GSW,L,2,0,6
Jordan Poole,GSW,05/26/2022,GSW vs. DAL,W,28,16,-6
Stephen Curry,GSW,05/26/2022,GSW vs. DAL,W,35,15,11
Kyle Lowry,MIA,05/25/2022,MIA vs. BOS,L,25,0,-7
P.J. Tucker,MIA,05/25/2022,MIA vs. BOS,L,32,7,-5
Victor Oladipo,MIA,05/25/2022,MIA vs. BOS,L,15,3,-2
Nik Stauskas,BOS,05/25/2022,BOS @ MIA,W,2,0,-4
Marcus Smart,BOS,05/25/2022,BOS @ MIA,W,24,5,13
Luke Kornet,BOS,05/25/2022,BOS @ MIA,W,2,0,-4
Robert Williams III,BOS,05/25/2022,BOS @ MIA,W,27,6,9
Duncan Robinson,MIA,05/25/2022,MIA vs. BOS,L,28,11,3
Juwan Morgan,BOS,05/25/2022,BOS @ MIA,W,2,0,-4
Aaron Nesmith,BOS,05/25/2022,BOS @ MIA,W,2,0,-4
Payton Pritchard,BOS,05/25/2022,BOS @ MIA,W,6,0,-4
Omer Yurtseven,MIA,05/25/2022,MIA vs. BOS,L,2,2,4
Malik Fitts,BOS,05/25/2022,BOS @ MIA,W,2,0,-4
Haywood Highsmith,MIA,05/25/2022,MIA vs. BOS,L,2,0,4
Al Horford,BOS,05/25/2022,BOS @ MIA,W,39,16,13
Jimmy Butler,MIA,05/25/2022,MIA vs. BOS,L,40,13,-15
Jaylen Brown,BOS,05/25/2022,BOS @ MIA,W,40,25,20
Jayson Tatum,BOS,05/25/2022,BOS @ MIA,W,44,22,17
Bam Adebayo,MIA,05/25/2022,MIA vs. BOS,L,38,18,-23
Derrick White,BOS,05/25/2022,BOS @ MIA,W,29,14,8
Caleb Martin,MIA,05/25/2022,MIA vs. BOS,L,15,7,-2
Gabe Vincent,MIA,05/25/2022,MIA vs. BOS,L,23,15,-6
Max Strus,MIA,05/25/2022,MIA vs. BOS,L,20,4,-16
Grant Williams,BOS,05/25/2022,BOS @ MIA,W,23,5,9
Stephen Curry,GSW,05/24/2022,GSW @ DAL,L,33,20,-23
Klay Thompson,GSW,05/24/2022,GSW @ DAL,L,28,12,-22
Draymond Green,GSW,05/24/2022,GSW @ DAL,L,26,10,-18
Reggie Bullock,DAL,05/24/2022,DAL vs. GSW,W,38,18,12
Dwight Powell,DAL,05/24/2022,DAL vs. GSW,W,12,0,7
Andrew Wiggins,GSW,05/24/2022,GSW @ DAL,L,31,13,-20
Kevon Looney,GSW,05/24/2022,GSW @ DAL,L,20,3,-20
Luka Doncic,DAL,05/24/2022,DAL vs. GSW,W,38,30,13
Juan Toscano-Anderson,GSW,05/24/2022,GSW @ DAL,L,0,0,0
Nemanja Bjelica,GSW,05/24/2022,GSW @ DAL,L,15,4,18
Davis Bertans,DAL,05/24/2022,DAL vs. GSW,W,10,5,-2
Spencer Dinwiddie,DAL,05/24/2022,DAL vs. GSW,W,28,10,8
Damion Lee,GSW,05/24/2022,GSW @ DAL,L,15,6,15
Frank Ntilikina,DAL,05/24/2022,DAL vs. GSW,W,17,5,-2
Jalen Brunson,DAL,05/24/2022,DAL vs. GSW,W,34,15,0
Josh Green,DAL,05/24/2022,DAL vs. GSW,W,2,0,-9
Jonathan Kuminga,GSW,05/24/2022,GSW @ DAL,L,22,17,9
Moses Moody,GSW,05/24/2022,GSW @ DAL,L,23,10,4
Jordan Poole,GSW,05/24/2022,GSW @ DAL,L,29,14,7
Maxi Kleber,DAL,05/24/2022,DAL vs. GSW,W,22,13,5
Dorian Finney-Smith,DAL,05/24/2022,DAL vs. GSW,W,39,23,18
Kyle Lowry,MIA,05/23/2022,MIA @ BOS,L,21,3,-27
P.J. Tucker,MIA,05/23/2022,MIA @ BOS,L,21,0,-30
Jimmy Butler,MIA,05/23/2022,MIA @ BOS,L,27,6,-30
Victor Oladipo,MIA,05/23/2022,MIA @ BOS,L,30,23,4
Nik Stauskas,BOS,05/23/2022,BOS vs. MIA,W,2,2,2
Bam Adebayo,MIA,05/23/2022,MIA @ BOS,L,28,9,-16
Derrick White,BOS,05/23/2022,BOS vs. MIA,W,41,13,15
Daniel Theis,BOS,05/23/2022,BOS vs. MIA,W,9,4,-11
Robert Williams III,BOS,05/23/2022,BOS vs. MIA,W,19,12,15
Haywood Highsmith,MIA,05/23/2022,MIA @ BOS,L,5,0,4
Max Strus,MIA,05/23/2022,MIA @ BOS,L,15,0,-33
Juwan Morgan,BOS,05/23/2022,BOS vs. MIA,W,2,0,2
Aaron Nesmith,BOS,05/23/2022,BOS vs. MIA,W,9,2,-11
Omer Yurtseven,MIA,05/23/2022,MIA @ BOS,L,5,2,4
Malik Fitts,BOS,05/23/2022,BOS vs. MIA,W,2,0,2
Dewayne Dedmon,MIA,05/23/2022,MIA @ BOS,L,11,7,-1
Al Horford,BOS,05/23/2022,BOS vs. MIA,W,33,5,33
Jaylen Brown,BOS,05/23/2022,BOS vs. MIA,W,29,12,23
Jayson Tatum,BOS,05/23/2022,BOS vs. MIA,W,34,31,37
Caleb Martin,MIA,05/23/2022,MIA @ BOS,L,25,12,9
Duncan Robinson,MIA,05/23/2022,MIA @ BOS,L,23,14,9
Gabe Vincent,MIA,05/23/2022,MIA @ BOS,L,27,6,7
Grant Williams,BOS,05/23/2022,BOS vs. MIA,W,37,7,-1
Payton Pritchard,BOS,05/23/2022,BOS vs. MIA,W,25,14,-6
Stephen Curry,GSW,05/22/2022,GSW @ DAL,W,39,31,19
Davis Bertans,DAL,05/22/2022,DAL vs. GSW,L,13,2,11
Draymond Green,GSW,05/22/2022,GSW @ DAL,W,37,10,19
Otto Porter Jr.,GSW,05/22/2022,GSW @ DAL,W,7,2,-8
Dwight Powell,DAL,05/22/2022,DAL vs. GSW,L,8,3,-7
Kevon Looney,GSW,05/22/2022,GSW @ DAL,W,29,9,5
Dorian Finney-Smith,DAL,05/22/2022,DAL vs. GSW,L,42,9,-12
Frank Ntilikina,DAL,05/22/2022,DAL vs. GSW,L,4,0,4
Maxi Kleber,DAL,05/22/2022,DAL vs. GSW,L,25,0,-12
Juan Toscano-Anderson,GSW,05/22/2022,GSW @ DAL,W,5,0,-7
Klay Thompson,GSW,05/22/2022,GSW @ DAL,W,39,19,13
Reggie Bullock,DAL,05/22/2022,DAL vs. GSW,L,40,0,-5
Spencer Dinwiddie,DAL,05/22/2022,DAL vs. GSW,L,32,26,2
Andrew Wiggins,GSW,05/22/2022,GSW @ DAL,W,40,27,22
Jalen Brunson,DAL,05/22/2022,DAL vs. GSW,L,37,20,-7
Luka Doncic,DAL,05/22/2022,DAL vs. GSW,L,40,40,-19
Jordan Poole,GSW,05/22/2022,GSW @ DAL,W,28,10,-6
Moses Moody,GSW,05/22/2022,GSW @ DAL,W,16,1,-12
Kyle Lowry,MIA,05/21/2022,MIA @ BOS,W,29,11,10
P.J. Tucker,MIA,05/21/2022,MIA @ BOS,W,38,17,6
Al Horford,BOS,05/21/2022,BOS vs. MIA,L,42,20,-7
Jimmy Butler,MIA,05/21/2022,MIA @ BOS,W,19,8,13
Dewayne Dedmon,MIA,05/21/2022,MIA @ BOS,W,3,0,-7
Victor Oladipo,MIA,05/21/2022,MIA @ BOS,W,20,5,-5
Nik Stauskas,BOS,05/21/2022,BOS vs. MIA,L,0,3,1
Jaylen Brown,BOS,05/21/2022,BOS vs. MIA,L,42,40,-6
Luke Kornet,BOS,05/21/2022,BOS vs. MIA,L,0,0,1
Duncan Robinson,MIA,05/21/2022,MIA @ BOS,W,4,2,2
Aaron Nesmith,BOS,05/21/2022,BOS vs. MIA,L,0,0,1
Payton Pritchard,BOS,05/21/2022,BOS vs. MIA,L,13,3,8
Malik Fitts,BOS,05/21/2022,BOS vs. MIA,L,0,0,1
Marcus Smart,BOS,05/21/2022,BOS vs. MIA,L,37,16,-16
Jayson Tatum,BOS,05/21/2022,BOS vs. MIA,L,41,10,-7
Derrick White,BOS,05/21/2022,BOS vs. MIA,L,14,0,-2
Daniel Theis,BOS,05/21/2022,BOS vs. MIA,L,11,1,-13
Grant Williams,BOS,05/21/2022,BOS vs. MIA,L,39,10,8
Bam Adebayo,MIA,05/21/2022,MIA @ BOS,W,42,31,17
